,arc length (SVL),density (rho/rho_bar)
0,0.0,0.759509182843
1,0.01,1.35254305265
2,0.02,1.26249508907
3,0.03,0.838093067677
4,0.04,0.637159012067
5,0.05,0.60928872412
6,0.06,0.627936634268
7,0.07,0.630673777151
8,0.08,0.632069335772
9,0.09,0.689463741292
10,0.1,0.699516158705
11,0.11,0.671860645202
12,0.12,0.681351227573
13,0.13,0.707859117827
14,0.14,0.675872472874
15,0.15,0.712251445871
16,0.16,0.764824356496
17,0.17,0.801299298315
18,0.18,0.841381207583
19,0.19,0.860294982029
20,0.2,0.872586841347
21,0.21,0.876717446685
22,0.22,0.8923684562
23,0.23,0.877052483323
24,0.24,0.879751546012
25,0.25,0.909239006497
26,0.26,0.986532908232
27,0.27,1.13846512283
28,0.28,1.10059924921
29,0.29,1.03244058842
30,0.3,0.990665814562
31,0.31,0.990368178548
32,0.32,1.0258823409
33,0.33,1.02071181135
34,0.34,1.02423233949
35,0.35,1.03909837214
36,0.36,1.04625330166
37,0.37,1.01724220372
38,0.38,1.02860432528
39,0.39,1.05362550141
40,0.4,1.05861288375
41,0.41,1.06106767189
42,0.42,1.09540923795
43,0.43,1.15451026928
44,0.44,1.1312728253
45,0.45,1.12615314344
46,0.46,1.17371670427
47,0.47,1.16309075217
48,0.48,1.12597015217
49,0.49,1.05091770624
50,0.5,1.07781914572
51,0.51,1.08501785657
52,0.52,1.05710059323
53,0.53,1.05714759129
54,0.54,1.05748652574
55,0.55,1.05538347914
56,0.56,1.11826039737
57,0.57,1.18597171726
58,0.58,1.2034564073
59,0.59,1.26373005905
60,0.6,1.27540081643
61,0.61,1.2230253523
62,0.62,1.16674805456
63,0.63,1.11949428222
64,0.64,1.07005657618
65,0.65,1.03481933742
66,0.66,1.00771606792
67,0.67,1.00427490274
68,0.68,1.02879091401
69,0.69,1.05348074454
70,0.7,1.05161520532
71,0.71,1.01442442424
72,0.72,1.02215433027
73,0.73,0.973682876309
74,0.74,0.901616960261
75,0.75,0.901315279245
76,0.76,0.865285683765
77,0.77,0.813429371508
78,0.78,0.839726870734
79,0.79,0.90996823195
80,0.8,0.932391000015
81,0.81,0.92275098891
82,0.82,0.900030567066
83,0.83,0.912373703099
84,0.84,0.915242382189
85,0.85,0.888866127221
86,0.86,0.864942083074
87,0.87,0.841111747805
88,0.88,0.815414853258
89,0.89,0.802697230068
90,0.9,0.801496428239
91,0.91,0.805212066777
92,0.92,0.819850354888
93,0.93,0.809378263529
94,0.94,0.776383012704
95,0.95,0.725546130938
96,0.96,0.754245726674
97,0.97,0.759267606857
98,0.98,0.69401767856
99,0.99,0.596238700806
100,1.0,0.44584776691
101,1.01,0.384334213847
102,1.02,0.321181265946
103,1.03,0.282639321976
104,1.04,0.269584355631
105,1.05,0.26961415161
106,1.06,0.259459839033
107,1.07,0.24961226909
108,1.08,0.23833298287
109,1.09,0.221542047264
110,1.1,0.213228491411
111,1.11,0.208977271705
112,1.12,0.200548772767
113,1.13,0.192989942994
114,1.14,0.181432965921
115,1.15,0.164017797357
116,1.16,0.150312248064
117,1.17,0.141053561259
118,1.18,0.130465326273
119,1.19,0.122298009402
120,1.2,0.114127150101
121,1.21,0.106834317589
122,1.22,0.0982259896864
123,1.23,0.0904942640441
124,1.24,0.0809530197806
125,1.25,0.0718292036655
126,1.26,0.0648837308754
127,1.27,0.0576621319568
128,1.28,0.0511353297179
129,1.29,0.0449591272754
130,1.3,0.0383281796193
131,1.31,0.0311347346165
132,1.32,0.0270678978185
133,1.33,0.0238071854266
134,1.34,0.0199707192791
135,1.35,0.0170606602468
