NO_OF_FRAMES	225
NO_OF_CAMERAS	23
NO_OF_MARKERS	11
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-19, 17:03:28	92553.10512241
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	
869	4.84916	659.568	-4543.435	8044.395	649.603	-4634.867	8032.216	609.612	-4679.695	8004.700	592.913	-4741.283	7998.526	589.581	-4803.175	8006.880	568.443	-4884.421	8014.728	528.702	-4948.100	8020.021	484.293	-5017.210	8026.055	468.039	-5110.387	8068.314	NA	NA	NA	447.449	-5447.740	8138.443
870	4.85475	659.307	-4536.106	8037.027	652.249	-4627.764	8026.309	611.458	-4672.629	7999.481	593.976	-4733.997	7992.792	591.460	-4795.961	8000.457	572.434	-4877.579	8009.344	533.768	-4941.787	8016.944	490.009	-5011.285	8025.358	469.284	-5104.719	8066.828	NA	NA	NA	434.049	-5445.961	8131.873
871	4.86034	660.644	-4528.568	8029.449	654.761	-4620.424	8018.031	613.403	-4665.670	7994.080	595.117	-4726.833	7987.060	593.186	-4788.865	7993.721	576.330	-4871.574	8003.991	538.767	-4935.520	8013.648	495.753	-5004.829	8023.970	471.138	-5098.612	8065.145	NA	NA	NA	421.753	-5441.786	8123.184
872	4.86592	660.483	-4521.311	8021.456	657.490	-4613.485	8011.323	615.349	-4658.781	7988.124	596.355	-4719.898	7981.342	594.837	-4781.979	7987.152	579.394	-4866.686	8000.842	543.608	-4929.313	8009.946	501.432	-4999.260	8022.414	473.437	-5092.194	8063.449	NA	NA	NA	410.231	-5434.384	8113.641
873	4.87151	660.143	-4514.235	8013.083	660.307	-4606.646	8004.264	618.088	-4652.507	7984.381	597.707	-4713.092	7975.548	596.428	-4775.197	7980.493	582.768	-4860.175	7995.165	548.286	-4923.314	8005.763	506.998	-4993.024	8020.033	476.026	-5085.517	8061.666	463.306	-5302.751	8142.778	NA	NA	NA
874	4.87709	659.563	-4507.280	8004.409	663.174	-4599.801	7996.861	619.884	-4645.871	7976.825	599.123	-4706.377	7969.658	597.954	-4768.564	7973.820	585.917	-4853.640	7989.171	552.865	-4917.202	8001.153	512.524	-4987.336	8017.567	478.857	-5078.715	8059.873	473.573	-5294.861	8134.762	NA	NA	NA
875	4.88268	659.106	-4500.414	7995.455	666.057	-4593.035	7989.002	622.357	-4639.550	7970.781	600.619	-4699.793	7963.724	599.443	-4762.010	7967.095	589.019	-4847.595	7982.914	557.238	-4911.101	7995.984	517.751	-4981.047	8014.044	481.943	-5071.598	8058.059	477.826	-5289.318	8133.808	NA	NA	NA
876	4.88827	658.313	-4493.645	7986.290	668.838	-4586.301	7980.647	624.904	-4633.315	7964.327	602.169	-4693.296	7957.656	600.900	-4755.495	7960.313	591.857	-4841.210	7976.345	561.408	-4905.167	7990.413	522.956	-4975.077	8010.414	485.184	-5064.307	8055.912	477.050	-5285.553	8137.477	NA	NA	NA
877	4.89385	657.847	-4486.926	7976.899	671.619	-4579.562	7971.948	627.593	-4627.108	7957.614	603.847	-4686.781	7951.533	602.396	-4749.103	7953.448	594.605	-4834.987	7969.544	565.431	-4899.179	7984.446	527.983	-4969.038	8006.292	488.718	-5057.044	8053.260	480.470	-5279.392	8134.516	NA	NA	NA
878	4.89944	657.279	-4480.329	7967.316	674.345	-4572.896	7962.913	630.349	-4620.928	7950.556	605.606	-4680.352	7945.201	603.927	-4742.712	7946.452	597.293	-4828.641	7962.479	569.295	-4893.178	7978.010	532.877	-4962.979	8001.686	492.479	-5049.866	8050.103	483.133	-5273.083	8130.567	NA	NA	NA
879	4.90503	656.798	-4473.726	7957.522	677.076	-4566.203	7953.546	633.228	-4614.823	7943.091	607.473	-4673.944	7938.738	605.486	-4736.336	7939.359	599.764	-4822.404	7955.105	573.018	-4887.134	7971.361	537.580	-4956.874	7996.618	496.349	-5042.711	8046.421	485.125	-5266.857	8125.830	369.879	-5297.365	8110.641
880	4.91061	656.603	-4467.243	7947.508	679.748	-4559.500	7943.833	636.198	-4608.692	7935.305	609.444	-4667.565	7932.069	607.086	-4730.050	7932.091	602.200	-4816.255	7947.473	576.608	-4881.053	7964.338	542.143	-4950.753	7991.073	500.329	-5035.617	8042.341	486.443	-5260.570	8120.747	370.928	-5281.523	8121.042
881	4.91620	656.333	-4460.752	7937.354	682.325	-4552.822	7933.930	639.287	-4602.628	7927.113	611.536	-4661.179	7925.107	608.738	-4723.669	7924.639	604.514	-4810.040	7939.657	579.993	-4874.995	7956.976	546.600	-4944.659	7985.012	504.309	-5028.514	8037.753	487.076	-5254.057	8115.841	373.937	-5267.991	8132.484
882	4.92179	656.205	-4454.361	7926.945	684.632	-4547.459	7924.756	642.397	-4596.579	7918.512	613.739	-4654.829	7917.918	610.470	-4717.285	7917.004	606.720	-4803.702	7931.607	583.231	-4868.863	7949.335	550.941	-4938.600	7978.498	508.392	-5021.508	8032.708	487.077	-5247.154	8111.175	371.197	-5256.719	8151.890
883	4.92737	656.166	-4447.977	7916.378	683.991	-4541.110	7915.987	645.722	-4590.577	7909.611	616.104	-4648.438	7910.383	612.253	-4710.931	7909.193	608.745	-4797.431	7923.525	586.333	-4862.685	7941.343	555.198	-4932.572	7971.520	512.497	-5014.592	8027.129	486.725	-5239.975	8107.280	375.042	-5247.494	8164.562
884	4.93296	656.120	-4441.647	7905.509	685.932	-4534.500	7905.332	649.019	-4584.578	7900.148	618.573	-4642.064	7902.466	614.039	-4704.507	7901.162	610.844	-4790.893	7915.151	589.155	-4857.477	7934.403	559.362	-4926.554	7964.068	516.700	-5007.706	8021.069	486.274	-5232.333	8104.353	382.189	-5240.151	8175.144
885	4.93855	656.337	-4435.256	7894.456	687.665	-4527.951	7894.645	652.450	-4578.655	7890.339	621.108	-4635.629	7894.058	615.890	-4698.069	7892.940	612.767	-4784.516	7906.655	591.985	-4851.295	7925.908	563.422	-4920.583	7956.260	520.996	-5000.955	8014.428	486.024	-5224.144	8102.326	390.175	-5235.367	8184.604
886	4.94413	656.569	-4428.813	7883.164	690.303	-4521.235	7883.235	655.990	-4572.716	7880.129	623.715	-4629.161	7885.073	617.714	-4691.622	7884.506	614.486	-4778.027	7897.828	594.707	-4845.111	7917.144	567.374	-4914.567	7948.025	525.354	-4994.511	8007.343	486.090	-5215.157	8101.047	NA	NA	NA
887	4.94972	656.883	-4422.381	7871.593	691.270	-4514.738	7872.474	659.654	-4566.895	7869.614	626.457	-4622.750	7875.713	619.545	-4685.130	7875.834	616.424	-4771.646	7888.939	597.291	-4838.862	7908.146	571.269	-4908.894	7939.861	529.795	-4988.217	7999.620	486.540	-5205.570	8100.473	NA	NA	NA
888	4.95531	657.171	-4415.930	7859.709	692.811	-4508.162	7861.324	663.356	-4561.085	7858.736	629.344	-4616.470	7865.943	621.359	-4678.685	7866.866	618.126	-4765.170	7879.965	599.772	-4832.607	7898.948	575.042	-4903.062	7931.045	534.270	-4982.177	7991.352	487.534	-5195.716	8100.917	NA	NA	NA
889	4.96089	657.618	-4409.435	7847.586	700.059	-4500.006	7846.550	667.172	-4555.368	7847.666	632.017	-4610.041	7854.827	623.192	-4672.206	7857.617	619.675	-4758.726	7870.528	602.157	-4826.378	7889.531	578.702	-4897.284	7921.940	538.784	-4976.448	7982.619	489.036	-5184.467	8101.081	423.738	-5229.839	8207.471
890	4.96648	658.118	-4402.897	7835.209	702.170	-4493.243	7834.833	671.384	-4545.487	7836.267	635.420	-4602.734	7842.809	625.074	-4665.799	7848.053	620.984	-4752.297	7860.989	604.393	-4820.087	7879.904	582.232	-4891.423	7912.381	543.199	-4970.817	7973.276	491.047	-5172.410	8101.427	430.533	-5229.727	8208.979
891	4.97207	658.644	-4396.450	7822.396	703.906	-4486.538	7822.676	675.107	-4539.889	7824.867	638.666	-4596.747	7831.482	627.007	-4659.453	7838.125	622.338	-4745.835	7851.411	606.521	-4813.903	7870.189	585.736	-4885.675	7902.688	547.526	-4965.278	7963.468	493.467	-5159.365	8101.772	437.640	-5228.600	8209.452
892	4.97765	659.207	-4390.041	7809.348	706.061	-4479.853	7810.568	678.930	-4534.316	7813.323	642.141	-4590.833	7820.042	628.925	-4653.080	7827.780	623.705	-4739.423	7841.488	608.530	-4807.637	7860.256	589.074	-4880.733	7893.973	551.767	-4959.032	7951.971	496.232	-5145.517	8101.986	445.314	-5225.263	8208.760
893	4.98324	659.843	-4383.659	7795.996	707.689	-4473.257	7798.180	682.504	-4532.633	7801.541	645.674	-4585.109	7808.200	631.221	-4646.775	7816.865	624.864	-4732.998	7831.408	610.520	-4801.314	7850.176	592.429	-4875.039	7883.467	555.683	-4953.518	7941.287	499.338	-5130.663	8101.813	453.247	-5216.576	8209.586
894	4.98883	660.449	-4377.382	7782.313	709.268	-4466.715	7785.574	686.202	-4527.008	7789.779	649.311	-4579.513	7796.152	633.354	-4640.622	7805.667	625.995	-4726.447	7821.162	612.423	-4795.063	7839.806	595.828	-4868.713	7871.225	559.573	-4947.998	7930.379	502.506	-5115.149	8101.012	460.081	-5206.265	8206.243
895	4.99441	661.234	-4371.112	7768.347	710.758	-4460.230	7772.912	689.806	-4521.336	7777.909	652.993	-4574.092	7783.905	635.585	-4634.519	7793.987	627.278	-4720.407	7810.468	614.388	-4788.822	7829.216	598.905	-4862.970	7860.002	563.468	-4942.386	7919.153	505.707	-5098.908	8099.457	466.256	-5193.114	8203.049
896	5.00000	661.939	-4365.025	7754.011	711.990	-4453.914	7760.067	693.329	-4515.631	7765.921	656.753	-4568.706	7771.485	637.931	-4628.563	7782.103	628.796	-4714.103	7799.446	616.331	-4782.578	7818.271	601.805	-4857.218	7848.502	567.507	-4936.818	7907.862	508.844	-5082.344	8096.874	471.743	-5176.578	8200.389
897	5.00559	662.799	-4358.973	7739.220	713.018	-4447.740	7746.994	696.779	-4509.913	7753.778	660.465	-4563.194	7758.900	640.420	-4622.623	7769.900	630.463	-4707.838	7787.930	618.275	-4776.418	7806.734	604.434	-4851.295	7836.644	571.609	-4931.096	7896.385	511.973	-5065.545	8093.262	476.377	-5157.195	8198.730
898	5.01117	663.729	-4352.956	7723.978	713.820	-4441.729	7733.664	700.185	-4504.133	7741.390	664.264	-4557.739	7746.400	643.198	-4615.920	7756.136	632.106	-4701.691	7775.835	620.142	-4770.315	7794.744	606.718	-4845.997	7826.000	575.835	-4925.413	7884.890	514.896	-5048.082	8088.120	480.399	-5134.450	8198.164
899	5.01676	664.624	-4347.138	7708.583	714.442	-4435.829	7720.045	703.546	-4498.319	7728.710	667.881	-4551.897	7733.319	646.007	-4610.058	7743.584	633.980	-4695.544	7763.313	621.921	-4764.284	7782.198	608.892	-4839.958	7813.577	580.101	-4919.491	7873.262	517.752	-5031.226	8082.056	483.656	-5108.629	8198.816
900	5.02235	665.515	-4341.455	7692.772	714.990	-4430.020	7706.136	707.057	-4492.777	7716.335	671.660	-4546.344	7720.869	648.995	-4604.280	7730.813	635.989	-4689.801	7750.153	623.545	-4758.278	7769.129	610.966	-4833.914	7800.902	584.368	-4913.446	7861.598	520.568	-5014.676	8074.872	486.887	-5079.538	8200.099
901	5.02793	666.368	-4336.062	7676.913	715.352	-4424.331	7691.975	710.338	-4487.009	7702.963	675.459	-4540.785	7708.372	652.155	-4598.567	7717.965	638.049	-4683.914	7736.658	625.078	-4752.410	7755.555	612.940	-4827.792	7787.998	588.658	-4907.192	7849.866	523.524	-4998.283	8066.668	490.297	-5047.197	8200.919
902	5.03352	667.205	-4330.809	7660.863	715.648	-4418.738	7677.524	713.513	-4481.103	7689.312	679.240	-4535.230	7695.734	655.506	-4592.900	7704.843	640.043	-4678.070	7722.694	626.533	-4746.597	7741.581	614.837	-4821.663	7774.800	592.865	-4900.698	7837.974	526.735	-4981.977	8057.619	494.664	-5011.585	8199.690
903	5.03911	667.909	-4325.746	7644.885	715.861	-4413.228	7662.790	716.555	-4475.313	7675.417	683.111	-4529.815	7682.788	658.930	-4587.329	7691.561	642.083	-4672.380	7708.395	627.944	-4740.838	7727.187	616.735	-4815.462	7761.271	597.019	-4893.962	7825.845	530.255	-4965.755	8047.671	499.173	-4974.421	8194.211
904	5.04469	668.522	-4320.878	7628.742	716.026	-4407.850	7647.696	719.529	-4469.528	7661.417	687.029	-4524.413	7669.489	662.389	-4581.870	7677.900	644.129	-4666.718	7693.806	629.364	-4735.129	7712.566	618.588	-4809.280	7747.496	601.130	-4887.156	7813.586	534.102	-4949.654	8036.901	502.773	-4938.576	8183.435
905	5.05028	669.118	-4316.112	7612.543	716.619	-4402.795	7633.446	722.409	-4463.748	7647.149	690.959	-4519.120	7655.808	665.923	-4576.501	7663.810	646.155	-4661.203	7678.805	630.876	-4729.413	7697.689	620.456	-4803.110	7733.506	605.090	-4880.077	7800.979	538.385	-4933.506	8025.477	506.763	-4904.375	8170.115
906	5.05587	669.733	-4311.484	7596.286	716.651	-4397.548	7617.990	725.198	-4457.992	7632.641	695.036	-4514.203	7642.309	669.446	-4571.251	7649.386	648.233	-4655.525	7663.629	632.473	-4723.639	7682.687	622.347	-4796.893	7719.209	608.797	-4873.688	7789.849	543.131	-4917.446	8013.388	509.984	-4872.767	8154.491
907	5.06145	670.242	-4306.954	7579.937	716.691	-4392.396	7602.410	727.909	-4452.292	7617.849	698.968	-4509.054	7627.841	672.933	-4565.904	7634.330	650.444	-4649.920	7648.208	634.149	-4717.884	7667.542	624.279	-4790.718	7704.797	612.515	-4866.523	7776.673	548.084	-4901.343	8000.871	513.540	-4844.512	8136.905
908	5.06704	670.693	-4302.495	7563.434	716.690	-4387.246	7586.491	730.576	-4446.596	7602.782	702.825	-4503.907	7612.952	676.407	-4560.655	7618.915	652.793	-4644.221	7632.396	636.001	-4712.005	7652.202	626.232	-4784.467	7690.006	616.104	-4859.251	7763.129	553.373	-4885.186	7987.766	517.891	-4819.407	8118.727
909	5.07263	671.095	-4298.155	7546.810	716.682	-4382.105	7570.202	733.140	-4440.921	7587.422	706.623	-4498.780	7597.646	679.849	-4555.438	7602.965	655.205	-4638.699	7616.429	637.991	-4706.221	7636.752	628.329	-4778.203	7675.086	619.564	-4852.092	7749.426	558.715	-4868.989	7974.434	521.774	-4796.573	8100.967
910	5.07821	671.454	-4293.843	7530.044	716.592	-4377.252	7554.131	735.240	-4437.032	7577.826	711.631	-4493.857	7587.447	683.852	-4551.210	7591.950	657.746	-4633.241	7599.993	640.237	-4699.642	7619.265	630.414	-4771.951	7659.910	622.889	-4844.828	7735.319	564.242	-4852.996	7960.547	525.812	-4776.009	8083.510
911	5.08380	671.788	-4289.638	7513.033	716.445	-4372.583	7537.761	738.057	-4429.570	7555.570	715.218	-4488.841	7571.134	687.382	-4545.851	7575.252	666.196	-4629.726	7588.414	642.392	-4693.754	7603.194	632.560	-4765.597	7644.628	626.365	-4837.616	7722.128	569.881	-4837.125	7946.179	530.051	-4757.244	8066.724
912	5.08939	672.078	-4285.472	7495.747	716.190	-4368.041	7521.204	740.487	-4423.963	7538.971	718.833	-4483.543	7554.777	690.541	-4540.774	7558.404	668.289	-4624.238	7571.167	644.717	-4687.846	7586.844	634.860	-4759.269	7628.998	629.508	-4830.253	7707.586	575.646	-4821.714	7931.698	534.673	-4740.028	8050.463
913	5.09497	672.339	-4281.380	7478.235	715.746	-4363.654	7504.375	742.774	-4418.338	7521.864	722.438	-4478.448	7537.989	694.359	-4534.785	7540.705	671.126	-4618.763	7553.918	647.566	-4683.158	7576.976	637.081	-4752.843	7613.090	632.549	-4822.682	7692.640	581.387	-4806.751	7916.571	539.835	-4724.053	8034.625
914	5.10056	673.043	-4278.352	7466.730	715.169	-4359.435	7487.208	744.937	-4412.785	7504.243	726.072	-4473.222	7520.877	697.821	-4529.697	7523.478	673.819	-4613.073	7535.846	650.065	-4677.806	7561.084	639.642	-4746.478	7597.968	635.472	-4815.092	7677.604	587.117	-4792.291	7901.157	545.698	-4709.091	8019.088
915	5.10615	673.214	-4274.357	7448.630	714.466	-4355.348	7469.788	746.732	-4407.979	7488.008	729.688	-4468.027	7503.642	701.454	-4524.302	7505.779	676.723	-4607.665	7517.972	652.497	-4672.083	7543.971	641.783	-4739.965	7580.396	638.302	-4807.339	7662.212	592.861	-4778.298	7885.565	552.345	-4694.845	8003.764
916	5.11173	673.377	-4269.734	7427.101	713.681	-4351.359	7452.056	748.769	-4402.448	7469.366	733.226	-4462.417	7482.946	705.004	-4518.711	7484.900	676.381	-4599.128	7497.657	654.851	-4665.452	7522.272	644.886	-4733.651	7567.355	641.155	-4799.447	7646.632	598.335	-4764.990	7870.427	559.586	-4681.265	7988.417
917	5.11732	673.693	-4265.721	7408.485	712.818	-4347.449	7434.017	750.120	-4395.474	7449.190	736.962	-4457.026	7464.374	708.845	-4513.315	7466.414	679.107	-4593.675	7479.213	657.484	-4659.512	7503.877	647.106	-4727.087	7549.698	643.903	-4791.376	7630.704	604.041	-4752.042	7854.299	567.606	-4668.167	7973.008
918	5.12291	673.942	-4261.808	7389.750	711.857	-4343.637	7415.615	751.790	-4389.988	7429.642	740.745	-4451.470	7445.515	712.781	-4507.979	7448.047	682.258	-4588.130	7460.700	660.145	-4653.583	7485.475	649.357	-4720.510	7532.277	646.583	-4783.156	7614.457	609.754	-4739.563	7838.085	576.287	-4655.434	7957.363
919	5.12849	674.173	-4257.952	7370.756	710.911	-4339.879	7397.005	753.267	-4384.453	7409.604	744.531	-4446.067	7426.517	716.929	-4502.526	7429.270	685.372	-4582.473	7441.877	662.882	-4647.573	7466.894	651.697	-4713.782	7514.409	649.193	-4774.905	7598.002	615.408	-4727.591	7821.588	585.608	-4643.233	7941.368
920	5.13408	674.541	-4254.053	7351.689	709.894	-4336.140	7378.059	754.589	-4378.988	7389.206	748.424	-4440.449	7407.083	721.075	-4497.271	7410.373	688.909	-4576.921	7422.967	665.626	-4641.545	7448.280	653.965	-4707.058	7496.501	651.593	-4765.362	7580.493	620.995	-4716.042	7804.738	595.390	-4631.387	7925.082
921	5.13966	674.908	-4250.175	7332.417	708.883	-4332.457	7358.988	755.651	-4373.636	7368.482	752.207	-4434.848	7387.094	725.359	-4491.805	7390.988	692.274	-4571.218	7403.731	668.388	-4635.346	7429.341	656.332	-4700.118	7478.534	655.078	-4758.472	7567.086	626.555	-4704.946	7787.785	605.417	-4619.904	7908.366
922	5.14525	675.269	-4246.317	7312.786	707.862	-4328.754	7339.606	756.536	-4368.326	7347.508	756.151	-4429.211	7366.833	729.753	-4486.360	7371.154	696.005	-4565.315	7384.148	671.225	-4629.187	7410.387	658.614	-4693.145	7460.179	657.396	-4748.853	7549.292	632.158	-4694.134	7770.479	615.899	-4608.938	7891.117
923	5.15084	675.723	-4242.513	7292.845	706.849	-4325.025	7319.912	757.622	-4363.458	7327.887	759.948	-4423.625	7346.069	734.119	-4481.032	7351.205	699.455	-4559.462	7364.432	674.126	-4622.823	7391.155	660.861	-4685.950	7441.638	659.859	-4740.437	7531.621	637.640	-4683.787	7752.866	626.233	-4598.076	7873.595
924	5.15642	676.224	-4238.657	7272.432	705.823	-4321.256	7299.953	758.028	-4358.310	7306.347	763.828	-4417.897	7324.901	738.660	-4475.602	7330.665	703.297	-4553.600	7344.471	677.324	-4615.562	7370.246	663.144	-4678.768	7422.968	662.311	-4731.988	7513.611	643.173	-4673.729	7734.992	637.158	-4588.203	7855.241
