NO_OF_FRAMES	251
NO_OF_CAMERAS	23
NO_OF_MARKERS	5
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-19, 17:34:26	94410.57039366
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	
768	4.28492	150.880	-4836.104	7596.350	276.310	-4931.138	7563.190	379.178	-5002.948	7585.159	524.293	-5057.610	7662.272	497.504	-5107.229	7722.208
769	4.29050	143.710	-4830.072	7593.292	269.707	-4925.690	7563.644	372.759	-4997.603	7584.836	516.326	-5050.972	7663.863	495.799	-5106.584	7723.056
770	4.29609	136.735	-4823.285	7590.079	262.795	-4919.972	7563.762	366.138	-4991.998	7584.107	508.474	-5044.794	7665.733	494.921	-5106.133	7724.064
771	4.30168	129.098	-4817.441	7586.208	256.376	-4913.317	7563.211	359.679	-4986.289	7583.432	500.287	-5039.099	7666.924	495.051	-5105.846	7725.264
772	4.30726	121.414	-4811.653	7582.411	249.390	-4907.328	7562.462	353.076	-4979.916	7582.582	492.030	-5033.852	7667.573	496.317	-5104.658	7726.135
773	4.31285	113.546	-4805.954	7578.104	242.107	-4901.142	7561.153	346.221	-4973.752	7581.534	483.898	-5029.007	7667.628	498.707	-5102.300	7725.515
774	4.31844	105.414	-4800.399	7573.258	235.031	-4894.808	7559.667	339.510	-4967.111	7580.179	474.767	-5027.180	7667.045	502.156	-5098.274	7715.880
775	4.32402	97.325	-4795.044	7568.259	227.788	-4888.245	7557.758	332.876	-4960.356	7578.950	465.002	-5025.560	7666.572	507.037	-5095.263	7720.858
776	4.32961	89.247	-4789.872	7562.951	220.903	-4880.484	7546.437	325.789	-4953.731	7577.392	457.226	-5021.533	7665.074	510.382	-5088.953	7715.672
777	4.33520	80.745	-4784.758	7556.813	214.031	-4873.646	7544.368	319.104	-4946.671	7575.495	449.565	-5017.293	7662.345	513.878	-5082.069	7715.385
778	4.34078	74.808	-4778.320	7552.222	207.228	-4866.650	7541.985	312.056	-4939.873	7573.511	443.074	-5012.052	7658.841	515.483	-5074.663	7715.466
779	4.34637	66.766	-4773.846	7545.588	200.542	-4859.516	7539.368	305.690	-4933.069	7571.087	437.265	-5006.370	7654.242	516.480	-5065.410	7713.503
780	4.35196	58.903	-4769.662	7538.814	193.946	-4852.279	7536.481	298.689	-4925.139	7568.015	431.170	-5001.543	7649.566	516.188	-5055.401	7711.039
781	4.35754	50.862	-4765.785	7531.464	187.399	-4844.952	7533.169	292.196	-4917.851	7565.294	425.005	-4996.787	7644.563	517.124	-5044.366	7706.505
782	4.36313	43.715	-4763.083	7523.053	180.884	-4837.513	7529.569	286.238	-4910.520	7561.942	419.066	-4991.632	7639.500	513.861	-5034.712	7707.972
783	4.36872	34.890	-4759.212	7516.839	174.405	-4829.957	7525.541	279.141	-4903.027	7558.122	416.610	-4980.589	7636.978	510.172	-5024.370	7703.890
784	4.37430	26.903	-4755.883	7509.095	168.022	-4822.283	7521.218	272.913	-4895.780	7554.348	410.938	-4974.831	7630.532	505.558	-5014.473	7698.779
785	4.37989	19.220	-4752.962	7501.648	161.621	-4814.456	7516.542	266.374	-4888.516	7549.956	405.101	-4968.372	7623.910	500.328	-5005.316	7693.215
786	4.38547	11.257	-4749.916	7493.616	155.243	-4806.667	7511.547	259.849	-4881.171	7545.176	399.456	-4961.624	7616.762	494.517	-4997.165	7687.287
787	4.39106	3.236	-4746.558	7485.651	148.768	-4798.967	7506.114	253.091	-4874.044	7540.302	393.949	-4954.815	7609.457	488.249	-4989.756	7680.801
788	4.39665	-4.287	-4743.695	7477.906	142.145	-4791.548	7500.319	246.527	-4866.865	7534.772	387.926	-4947.861	7601.676	481.335	-4983.308	7674.420
