NO_OF_FRAMES	853
NO_OF_CAMERAS	23
NO_OF_MARKERS	15
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-20, 16:47:20	6986.18428335
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	
3910	21.83799	366.507	-4965.574	7654.100	405.369	-4987.524	7653.989	462.085	-5032.104	7649.050	485.419	-5075.834	7734.306	475.374	-5082.714	7808.268	461.009	-5074.893	7882.669	453.468	-5068.438	7931.592	447.515	-5062.627	7988.184	443.781	-5058.669	8052.384	443.359	-5057.081	8107.031	451.487	-5055.548	8165.513	463.670	-5055.542	8231.629	450.872	-5121.861	8264.783	NA	NA	NA	NA	NA	NA
3911	21.84358	367.585	-4964.591	7655.788	406.060	-4986.814	7654.893	462.280	-5031.796	7648.946	485.531	-5076.187	7733.768	475.549	-5083.256	7807.748	461.274	-5075.453	7882.124	453.856	-5068.856	7931.077	447.110	-5064.030	7987.164	443.791	-5059.118	8051.902	443.209	-5057.529	8106.451	451.282	-5055.840	8164.975	463.727	-5055.462	8231.192	450.533	-5121.405	8264.680	NA	NA	NA	NA	NA	NA
3912	21.84916	368.278	-4963.753	7658.132	406.126	-4986.908	7655.070	462.390	-5031.426	7649.044	485.522	-5076.561	7733.330	475.713	-5083.576	7807.309	461.597	-5075.680	7881.766	454.212	-5069.292	7930.630	447.306	-5064.541	7986.770	443.781	-5059.651	8051.504	443.031	-5057.836	8105.982	451.178	-5056.125	8164.558	463.742	-5055.452	8230.777	450.255	-5121.148	8264.523	NA	NA	NA	NA	NA	NA
3913	21.85475	369.341	-4962.752	7660.460	406.888	-4986.134	7656.674	462.461	-5030.953	7649.259	485.408	-5077.029	7732.878	475.370	-5084.752	7806.569	461.970	-5076.068	7881.464	454.492	-5070.183	7930.271	447.418	-5065.062	7986.455	443.758	-5060.148	8051.149	442.791	-5058.028	8105.558	451.062	-5056.524	8164.176	463.722	-5055.299	8230.405	449.735	-5121.043	8264.546	NA	NA	NA	NA	NA	NA
3914	21.86034	370.519	-4961.800	7663.225	407.813	-4985.267	7658.747	462.468	-5030.487	7649.637	485.469	-5077.507	7732.648	475.849	-5084.726	7806.562	462.346	-5076.752	7881.188	454.857	-5070.643	7930.050	447.633	-5065.700	7986.185	443.680	-5060.490	8050.893	442.603	-5058.341	8105.259	450.908	-5056.727	8163.833	463.749	-5055.354	8230.077	449.183	-5120.787	8264.599	NA	NA	NA	NA	NA	NA
3915	21.86592	371.636	-4960.862	7666.472	408.637	-4984.488	7661.068	462.420	-5030.106	7650.140	485.513	-5078.103	7732.435	475.664	-5085.933	7805.975	462.716	-5077.337	7880.968	455.248	-5071.189	7929.849	447.770	-5066.266	7985.886	443.626	-5060.908	8050.520	442.433	-5058.595	8104.964	450.748	-5056.979	8163.540	463.779	-5055.618	8229.923	448.894	-5120.585	8264.649	NA	NA	NA	NA	NA	NA
3916	21.87151	372.839	-4960.011	7670.353	409.502	-4983.706	7663.718	462.310	-5029.436	7650.909	485.599	-5078.594	7732.301	475.922	-5086.376	7805.840	463.058	-5078.049	7880.806	455.695	-5071.809	7929.611	447.952	-5066.923	7985.704	443.545	-5061.526	8050.208	442.370	-5058.985	8104.766	450.671	-5057.256	8163.325	463.703	-5055.848	8229.777	448.562	-5120.464	8264.774	NA	NA	NA	NA	NA	NA
3917	21.87709	374.072	-4959.211	7674.827	410.369	-4982.951	7666.714	462.140	-5028.862	7651.767	485.661	-5079.004	7732.184	476.222	-5086.977	7805.780	463.449	-5078.759	7880.672	456.137	-5072.640	7929.496	448.150	-5067.369	7985.587	443.518	-5062.125	8049.952	442.325	-5059.349	8104.606	450.601	-5057.489	8163.163	463.675	-5056.041	8229.617	448.440	-5120.145	8264.673	NA	NA	NA	NA	NA	NA
3918	21.88268	375.300	-4958.567	7679.747	411.198	-4982.266	7670.187	461.806	-5027.583	7652.642	485.755	-5079.665	7732.107	476.491	-5087.882	7805.712	463.964	-5079.429	7880.637	456.496	-5073.241	7929.373	448.405	-5067.966	7985.447	443.548	-5062.557	8049.766	442.313	-5059.792	8104.436	450.552	-5057.771	8163.063	463.669	-5056.160	8229.434	448.310	-5120.063	8264.598	NA	NA	NA	NA	NA	NA
3919	21.88827	376.539	-4958.048	7685.244	411.975	-4981.600	7674.170	461.525	-5027.369	7654.304	485.869	-5080.316	7732.095	476.821	-5088.630	7805.719	464.486	-5080.551	7880.616	456.985	-5074.167	7929.349	448.706	-5068.537	7985.364	443.527	-5062.886	8049.570	442.324	-5060.113	8104.362	450.523	-5058.034	8162.896	463.610	-5056.244	8229.318	448.108	-5119.983	8264.575	NA	NA	NA	NA	NA	NA
