NO_OF_FRAMES	200
NO_OF_CAMERAS	23
NO_OF_MARKERS	11
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-20, 17:24:32	9219.12088556
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	
7140	39.88268	336.680	-4830.161	8087.044	313.428	-4934.489	8115.892	291.549	-5017.162	8119.007	303.857	-5075.112	8161.447	347.913	-5082.862	8218.740	NA	NA	NA	396.967	-5204.259	8272.262	441.449	-5253.905	8368.464	NA	NA	NA	NA	NA	NA	NA	NA	NA
7141	39.88827	332.758	-4821.433	8074.438	312.717	-4925.885	8106.210	290.236	-5008.439	8110.307	300.409	-5073.719	8149.625	342.424	-5083.208	8207.288	NA	NA	NA	NA	NA	NA	436.835	-5258.643	8368.687	NA	NA	NA	NA	NA	NA	NA	NA	NA
7142	39.89385	328.680	-4812.807	8061.564	311.994	-4918.021	8095.976	289.150	-5000.073	8101.825	296.863	-5067.835	8138.327	337.208	-5083.026	8195.483	NA	NA	NA	NA	NA	NA	433.217	-5262.854	8366.007	NA	NA	NA	NA	NA	NA	NA	NA	NA
7143	39.89944	324.480	-4804.459	8048.691	311.130	-4909.523	8085.672	288.001	-4991.756	8092.586	293.806	-5061.580	8127.221	332.231	-5082.225	8183.501	NA	NA	NA	NA	NA	NA	429.764	-5266.839	8362.048	NA	NA	NA	NA	NA	NA	NA	NA	NA
7144	39.90503	320.197	-4796.375	8035.553	310.047	-4900.781	8075.102	286.837	-4983.334	8083.562	291.146	-5054.874	8116.019	327.508	-5080.800	8171.387	370.059	-5085.990	8245.889	NA	NA	NA	427.056	-5271.775	8357.148	NA	NA	NA	NA	NA	NA	NA	NA	NA
7145	39.91061	315.886	-4788.688	8022.508	308.814	-4893.047	8064.142	285.283	-4975.075	8073.936	288.638	-5047.813	8104.876	323.099	-5078.618	8158.860	365.928	-5086.258	8232.780	NA	NA	NA	424.480	-5278.233	8351.881	NA	NA	NA	NA	NA	NA	NA	NA	NA
7146	39.91620	311.556	-4781.254	8009.271	307.440	-4885.366	8053.141	284.334	-4967.279	8064.199	286.391	-5040.599	8093.767	318.962	-5075.692	8146.237	361.963	-5086.676	8219.361	NA	NA	NA	419.373	-5286.640	8347.984	NA	NA	NA	NA	NA	NA	NA	NA	NA
7147	39.92179	307.304	-4774.188	7995.914	306.000	-4877.875	8041.810	282.745	-4959.525	8053.843	284.295	-5033.500	8082.429	315.237	-5072.082	8133.417	358.061	-5087.031	8205.727	NA	NA	NA	415.801	-5297.201	8342.602	NA	NA	NA	NA	NA	NA	NA	NA	NA
7148	39.92737	303.044	-4767.385	7982.794	304.488	-4870.266	8030.509	281.331	-4952.002	8043.402	282.201	-5026.449	8070.918	311.909	-5067.875	8120.517	354.008	-5087.168	8191.973	NA	NA	NA	413.905	-5308.683	8335.936	NA	NA	NA	NA	NA	NA	NA	NA	NA
7149	39.93296	298.796	-4760.862	7969.613	302.777	-4863.101	8018.948	279.701	-4944.521	8032.542	280.246	-5019.400	8059.209	308.912	-5063.243	8107.500	349.840	-5086.914	8178.144	NA	NA	NA	413.538	-5320.430	8328.886	NA	NA	NA	NA	NA	NA	NA	NA	NA
7150	39.93855	294.570	-4754.545	7956.323	301.166	-4856.191	8007.236	277.994	-4937.487	8021.479	278.402	-5012.716	8047.302	306.648	-5062.037	8093.471	346.017	-5088.758	8164.239	NA	NA	NA	424.138	-5334.757	8316.797	NA	NA	NA	NA	NA	NA	NA	NA	NA
