NO_OF_FRAMES	250
NO_OF_CAMERAS	23
NO_OF_MARKERS	13
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-20, 17:40:13	10159.61654128
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	
12724	71.07821	321.965	-4618.896	8303.757	332.971	-4693.265	8291.442	371.165	-4749.268	8268.999	405.169	-4799.144	8241.086	431.513	-4861.610	8228.754	450.271	-4933.826	8233.006	475.523	-4971.214	8228.373	533.154	-5022.595	8196.137	NA	NA	NA	NA	NA	NA	514.042	-5136.369	8219.527	NA	NA	NA	NA	NA	NA
12725	71.08380	321.230	-4609.756	8301.336	330.907	-4684.556	8289.699	368.773	-4741.356	8268.190	403.745	-4790.706	8239.236	431.010	-4852.328	8225.627	448.314	-4924.649	8229.734	473.723	-4966.083	8228.274	528.319	-5017.655	8198.019	NA	NA	NA	NA	NA	NA	518.996	-5136.682	8212.425	NA	NA	NA	NA	NA	NA
12726	71.08939	320.599	-4600.663	8298.444	329.317	-4675.788	8287.702	366.654	-4733.283	8266.655	402.696	-4782.223	8237.000	430.621	-4843.137	8222.278	446.635	-4915.417	8226.024	474.649	-4958.252	8224.215	524.685	-5008.422	8198.024	NA	NA	NA	NA	NA	NA	522.323	-5135.854	8209.757	NA	NA	NA	NA	NA	NA
12727	71.09497	319.970	-4591.637	8295.244	328.002	-4666.908	8285.333	364.836	-4725.168	8264.855	401.116	-4773.767	8234.755	429.722	-4833.984	8218.955	445.041	-4906.356	8221.775	471.276	-4949.585	8220.859	520.465	-5002.803	8198.412	NA	NA	NA	NA	NA	NA	525.854	-5133.670	8207.139	NA	NA	NA	NA	NA	NA
12728	71.10056	319.399	-4582.534	8291.755	327.141	-4657.804	8282.619	362.808	-4717.052	8262.646	399.394	-4765.333	8232.181	428.451	-4824.970	8215.532	442.927	-4897.184	8217.278	467.881	-4940.947	8216.666	516.383	-4997.417	8198.214	NA	NA	NA	NA	NA	NA	529.073	-5130.480	8204.878	NA	NA	NA	NA	NA	NA
12729	71.10615	318.965	-4573.401	8287.974	325.779	-4648.663	8280.012	361.184	-4708.947	8260.252	397.380	-4756.823	8229.616	426.796	-4816.082	8212.015	441.127	-4888.167	8212.277	465.330	-4932.198	8211.870	512.356	-4992.009	8197.599	NA	NA	NA	NA	NA	NA	540.939	-5122.823	8209.249	NA	NA	NA	NA	NA	NA
12730	71.11173	318.730	-4564.015	8284.059	324.918	-4639.360	8276.810	359.131	-4700.799	8257.794	394.928	-4748.649	8227.016	425.414	-4807.280	8208.008	439.576	-4879.135	8206.814	462.548	-4923.533	8206.788	508.461	-4986.476	8196.522	NA	NA	NA	NA	NA	NA	543.609	-5122.344	8207.035	NA	NA	NA	NA	NA	NA
12731	71.11732	318.611	-4554.740	8279.945	324.272	-4630.157	8273.123	357.362	-4692.590	8254.776	392.540	-4740.466	8224.061	423.477	-4798.621	8203.991	437.992	-4870.088	8201.164	460.348	-4914.720	8201.026	504.559	-4980.293	8194.725	NA	NA	NA	NA	NA	NA	543.749	-5123.836	8209.055	404.137	-5279.431	8273.159	NA	NA	NA
12732	71.12291	318.683	-4545.542	8275.704	323.605	-4620.868	8269.215	355.828	-4684.492	8251.589	390.362	-4732.540	8220.722	421.749	-4789.951	8199.704	436.764	-4861.131	8195.229	458.475	-4905.851	8194.900	501.369	-4976.909	8192.786	NA	NA	NA	NA	NA	NA	546.773	-5125.942	8206.344	400.285	-5284.237	8280.787	NA	NA	NA
12733	71.12849	318.882	-4536.161	8271.390	323.261	-4611.574	8264.923	353.905	-4676.373	8247.786	387.780	-4724.569	8217.155	419.903	-4781.482	8195.155	435.473	-4852.270	8189.279	456.624	-4896.972	8188.687	497.480	-4969.525	8189.916	NA	NA	NA	NA	NA	NA	549.669	-5128.010	8203.696	397.482	-5288.372	8288.856	NA	NA	NA
