NO_OF_FRAMES	286
NO_OF_CAMERAS	23
NO_OF_MARKERS	15
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-21, 15:59:59	90545.32145995
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	
4319	24.12291	NA	NA	NA	366.753	-4607.717	8574.314	366.170	-4666.076	8529.655	380.553	-4690.354	8467.810	392.579	-4729.465	8418.414	407.044	-4793.467	8375.833	422.962	-4873.469	8350.376	433.549	-4936.852	8318.960	435.126	-4976.599	8283.480	443.050	-5024.950	8251.552	448.105	-5074.932	8269.097	456.762	-5095.401	8329.337	537.152	-5143.425	8346.791	561.314	-5249.099	8405.495	513.289	-5369.417	8444.811
4320	24.12849	NA	NA	NA	363.546	-4598.346	8575.440	364.408	-4658.121	8535.002	378.493	-4680.838	8472.226	390.774	-4718.355	8421.656	404.119	-4780.560	8376.384	421.407	-4860.159	8349.710	432.413	-4926.202	8323.882	434.797	-4969.323	8292.444	442.576	-5016.768	8258.587	448.976	-5069.231	8268.578	454.299	-5094.167	8328.356	535.840	-5139.351	8348.314	572.114	-5242.780	8403.728	528.477	-5368.145	8453.820
4321	24.13408	NA	NA	NA	360.092	-4589.072	8575.290	363.151	-4650.170	8539.870	376.323	-4671.952	8476.529	389.140	-4707.952	8424.766	402.003	-4767.952	8376.409	419.233	-4846.937	8348.408	431.373	-4914.945	8327.677	434.904	-4960.932	8300.813	441.803	-5008.590	8266.969	448.383	-5062.564	8269.403	452.144	-5093.922	8327.066	534.084	-5135.548	8349.785	581.939	-5235.273	8401.835	545.907	-5363.654	8462.358
4322	24.13966	NA	NA	NA	356.682	-4579.914	8574.279	361.812	-4642.343	8544.276	373.837	-4663.275	8480.614	387.284	-4697.990	8427.641	399.655	-4755.640	8376.563	417.003	-4834.105	8346.685	430.902	-4902.904	8329.818	435.320	-4951.840	8308.382	441.601	-5000.453	8276.026	447.129	-5055.269	8271.523	450.022	-5093.328	8325.225	531.787	-5131.536	8351.417	590.698	-5227.357	8399.573	561.839	-5354.864	8468.274
4323	24.14525	NA	NA	NA	353.312	-4570.875	8572.250	360.652	-4634.452	8547.858	371.257	-4655.609	8484.247	385.369	-4688.238	8430.045	397.319	-4744.205	8376.968	414.732	-4821.530	8344.866	430.382	-4890.750	8330.795	435.798	-4941.907	8314.817	441.182	-4992.530	8285.986	444.862	-5046.775	8275.488	448.124	-5092.886	8322.862	529.126	-5127.308	8353.412	597.917	-5219.019	8396.535	576.700	-5343.242	8469.715
4324	24.15084	NA	NA	NA	349.647	-4562.195	8570.536	NA	NA	NA	368.719	-4648.034	8487.329	383.074	-4678.811	8432.092	394.899	-4733.081	8377.504	412.545	-4809.529	8343.088	429.296	-4878.812	8331.000	436.003	-4931.413	8319.901	440.664	-4984.055	8295.874	443.126	-5037.819	8280.975	448.106	-5091.196	8320.398	526.123	-5123.935	8354.637	603.751	-5209.910	8392.722	595.036	-5332.012	8470.534
4325	24.15642	NA	NA	NA	345.685	-4554.121	8568.313	NA	NA	NA	365.952	-4640.351	8490.063	379.974	-4669.714	8433.916	392.547	-4722.676	8378.019	410.420	-4798.254	8341.810	428.118	-4867.218	8330.521	435.430	-4920.896	8323.710	440.271	-4975.464	8305.035	441.522	-5028.676	8288.116	448.378	-5088.583	8318.375	522.377	-5121.021	8355.628	608.879	-5200.179	8388.308	614.660	-5320.664	8469.497
4326	24.16201	NA	NA	NA	341.414	-4546.345	8565.693	NA	NA	NA	363.602	-4632.593	8492.141	376.464	-4660.853	8435.337	390.514	-4712.532	8378.294	408.698	-4787.184	8340.812	426.259	-4856.415	8330.206	434.329	-4910.463	8326.184	439.696	-4966.328	8313.042	440.722	-5019.670	8296.157	447.353	-5085.373	8317.338	517.890	-5118.942	8355.911	613.162	-5190.138	8383.202	635.630	-5307.632	8466.021
4327	24.16760	NA	NA	NA	337.170	-4538.692	8562.793	NA	NA	NA	361.270	-4624.626	8493.762	373.460	-4651.961	8436.022	388.730	-4702.659	8378.369	407.484	-4776.690	8340.084	424.525	-4845.943	8329.581	432.584	-4900.147	8327.660	439.367	-4957.017	8319.508	440.513	-5010.972	8304.845	443.443	-5081.888	8317.831	512.775	-5117.533	8355.265	616.162	-5179.116	8377.788	657.803	-5293.388	8460.221
4328	24.17318	NA	NA	NA	333.087	-4531.792	8559.573	NA	NA	NA	359.129	-4616.341	8494.813	369.853	-4643.312	8436.674	386.842	-4693.193	8378.473	406.542	-4766.382	8339.410	422.642	-4835.938	8328.952	430.648	-4890.285	8328.496	438.683	-4947.452	8324.728	440.889	-5002.017	8313.524	443.351	-5074.538	8319.114	507.353	-5116.775	8354.097	617.725	-5168.717	8372.479	678.698	-5277.505	8451.519
