NO_OF_FRAMES	285
NO_OF_CAMERAS	23
NO_OF_MARKERS	15
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-21, 16:46:48	93354.73978522
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	
4060	22.67598	NA	NA	NA	352.901	-4641.429	8515.396	NA	NA	NA	436.901	-4711.424	8452.873	446.787	-4816.478	8422.396	465.657	-4868.411	8395.740	NA	NA	NA	NA	NA	NA	489.612	-4979.655	8340.213	511.404	-5040.583	8328.712	492.559	-5089.193	8332.132	NA	NA	NA	437.392	-5185.543	8363.991	449.856	-5287.838	8368.650	NA	NA	NA
4061	22.68156	NA	NA	NA	350.228	-4633.945	8513.103	NA	NA	NA	433.568	-4703.444	8451.482	445.735	-4807.622	8420.059	464.099	-4859.824	8394.588	NA	NA	NA	NA	NA	NA	480.200	-4976.806	8346.972	509.458	-5034.738	8329.490	494.551	-5085.700	8330.699	NA	NA	NA	439.617	-5181.941	8359.172	453.854	-5283.625	8363.850	NA	NA	NA
4062	22.68715	NA	NA	NA	347.713	-4626.294	8510.178	NA	NA	NA	430.264	-4695.721	8449.866	445.089	-4798.651	8417.286	462.659	-4851.009	8393.022	NA	NA	NA	NA	NA	NA	477.196	-4970.485	8348.584	506.404	-5028.496	8330.401	497.042	-5081.396	8329.574	NA	NA	NA	433.004	-5176.802	8363.220	456.712	-5278.688	8361.110	NA	NA	NA
4063	22.69274	NA	NA	NA	360.108	-4618.390	8506.160	NA	NA	NA	427.439	-4687.802	8447.778	444.418	-4789.679	8414.203	461.881	-4842.250	8390.771	NA	NA	NA	NA	NA	NA	474.670	-4963.822	8349.799	503.688	-5022.389	8330.913	495.533	-5079.059	8332.082	NA	NA	NA	422.911	-5171.578	8366.858	458.727	-5273.399	8359.855	NA	NA	NA
4064	22.69832	NA	NA	NA	354.808	-4610.359	8502.882	NA	NA	NA	423.907	-4680.286	8445.843	444.272	-4780.436	8410.682	461.585	-4833.362	8388.016	NA	NA	NA	NA	NA	NA	471.938	-4956.608	8350.951	500.389	-5016.067	8331.443	497.367	-5073.944	8331.710	NA	NA	NA	418.049	-5166.149	8367.418	NA	NA	NA	NA	NA	NA
4065	22.70391	NA	NA	NA	349.865	-4602.495	8499.196	NA	NA	NA	421.951	-4672.810	8443.184	444.420	-4771.268	8406.666	461.343	-4824.284	8384.924	NA	NA	NA	NA	NA	NA	469.827	-4949.261	8351.604	496.572	-5009.756	8332.104	499.001	-5068.398	8331.029	NA	NA	NA	421.939	-5161.035	8359.394	NA	NA	NA	NA	NA	NA
4066	22.70950	NA	NA	NA	346.515	-4594.205	8495.039	NA	NA	NA	420.359	-4665.411	8440.328	444.264	-4762.113	8402.441	460.999	-4815.260	8381.620	NA	NA	NA	NA	NA	NA	467.796	-4941.979	8351.986	493.059	-5003.253	8332.565	499.727	-5062.339	8330.355	NA	NA	NA	426.552	-5156.329	8355.318	NA	NA	NA	NA	NA	NA
4067	22.71508	NA	NA	NA	318.739	-4582.576	8479.761	NA	NA	NA	418.488	-4658.531	8437.316	444.506	-4752.711	8397.830	460.971	-4806.352	8377.937	NA	NA	NA	NA	NA	NA	466.016	-4933.964	8351.663	488.923	-4996.735	8333.450	499.232	-5055.775	8329.867	NA	NA	NA	431.191	-5151.029	8351.567	NA	NA	NA	NA	NA	NA
4068	22.72067	NA	NA	NA	318.110	-4574.640	8474.131	NA	NA	NA	416.708	-4651.470	8433.773	444.708	-4743.476	8393.172	461.077	-4797.423	8373.956	NA	NA	NA	NA	NA	NA	464.229	-4926.162	8351.177	485.310	-4989.754	8333.734	497.110	-5048.294	8329.526	NA	NA	NA	421.900	-5143.961	8355.738	NA	NA	NA	NA	NA	NA
4069	22.72626	NA	NA	NA	NA	NA	NA	370.766	-4621.260	8460.219	410.779	-4644.819	8431.359	449.743	-4732.358	8384.507	461.142	-4788.491	8369.822	NA	NA	NA	NA	NA	NA	455.997	-4918.991	8353.628	481.287	-4982.420	8334.049	495.314	-5041.557	8328.928	476.966	-5093.103	8336.971	411.547	-5137.339	8359.103	NA	NA	NA	NA	NA	NA
