NO_OF_FRAMES	256
NO_OF_CAMERAS	23
NO_OF_MARKERS	16
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 11:34:50	5372.94525032
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	
3194	17.83799	NA	NA	NA	785.230	-4595.309	8543.973	770.228	-4664.311	8535.474	751.447	-4658.187	8471.532	NA	NA	NA	NA	NA	NA	713.749	-4788.228	8304.505	667.661	-4833.583	8274.700	631.140	-4873.173	8269.135	593.870	-4919.214	8271.205	565.002	-4961.000	8270.229	507.306	-5009.641	8271.986	485.153	-5099.168	8290.936	492.453	-5217.604	8320.732	494.424	-5292.489	8331.806	NA	NA	NA
3195	17.84358	NA	NA	NA	789.672	-4588.328	8536.548	778.518	-4658.656	8531.210	757.619	-4651.929	8468.688	NA	NA	NA	NA	NA	NA	719.732	-4781.755	8303.035	674.042	-4827.817	8272.961	637.195	-4867.192	8267.238	599.991	-4913.182	8269.544	571.732	-4955.837	8269.563	514.860	-5004.645	8271.509	482.913	-5091.823	8288.561	495.502	-5210.979	8318.813	501.348	-5287.690	8331.570	NA	NA	NA
3196	17.84916	NA	NA	NA	793.832	-4581.140	8528.809	786.925	-4651.782	8526.547	763.963	-4646.026	8465.514	NA	NA	NA	NA	NA	NA	725.558	-4779.049	8300.222	680.435	-4822.162	8271.199	643.167	-4860.939	8265.249	605.868	-4907.126	8267.443	577.508	-4950.362	8268.619	522.548	-5000.063	8271.071	482.004	-5084.217	8286.139	496.917	-5203.878	8316.000	502.842	-5280.212	8330.961	NA	NA	NA
3197	17.85475	NA	NA	NA	797.769	-4574.005	8521.081	795.574	-4644.614	8521.454	770.439	-4640.066	8462.028	NA	NA	NA	NA	NA	NA	731.241	-4772.418	8298.613	686.829	-4816.513	8269.391	649.376	-4855.136	8262.923	611.802	-4901.095	8264.899	583.660	-4944.796	8266.758	530.214	-4995.505	8270.445	482.410	-5076.012	8283.081	496.612	-5196.541	8313.016	503.363	-5271.791	8329.465	NA	NA	NA
3198	17.86034	NA	NA	NA	801.444	-4566.603	8512.863	804.426	-4637.209	8515.995	777.097	-4634.707	8457.975	NA	NA	NA	NA	NA	NA	736.535	-4765.632	8296.437	693.318	-4811.065	8267.499	655.643	-4849.293	8260.352	617.648	-4895.048	8261.749	589.846	-4939.121	8264.159	537.630	-4990.694	8269.373	483.765	-5068.475	8280.243	495.283	-5188.925	8310.228	503.325	-5263.909	8326.995	NA	NA	NA
3199	17.86592	NA	NA	NA	805.017	-4559.177	8504.181	813.364	-4629.595	8510.083	783.940	-4629.603	8453.968	NA	NA	NA	NA	NA	NA	741.616	-4758.581	8293.800	699.785	-4805.817	8265.490	661.994	-4843.688	8257.421	623.607	-4889.107	8258.069	595.876	-4933.176	8261.047	544.930	-4985.708	8267.690	486.315	-5061.224	8277.355	493.177	-5181.004	8307.643	496.920	-5255.760	8325.938	NA	NA	NA
3200	17.87151	NA	NA	NA	808.645	-4551.976	8495.063	822.273	-4621.798	8503.630	802.069	-4624.131	8451.629	NA	NA	NA	NA	NA	NA	746.247	-4751.274	8290.807	706.298	-4800.479	8263.224	668.726	-4838.313	8254.219	629.748	-4883.217	8254.140	596.724	-4926.861	8259.763	552.029	-4980.451	8265.416	490.078	-5054.375	8274.638	490.544	-5172.750	8305.269	501.995	-5247.861	8318.977	NA	NA	NA
3201	17.87709	NA	NA	NA	812.487	-4545.245	8485.536	831.038	-4613.845	8496.550	806.817	-4618.891	8444.869	NA	NA	NA	NA	NA	NA	750.362	-4743.817	8287.407	712.756	-4795.075	8260.712	675.675	-4833.148	8250.889	636.095	-4877.388	8250.027	602.355	-4920.736	8255.703	558.657	-4975.047	8262.516	494.945	-5048.108	8271.827	487.633	-5164.135	8303.113	490.369	-5240.053	8322.712	NA	NA	NA
3202	17.88268	NA	NA	NA	815.971	-4536.865	8474.929	839.737	-4605.544	8489.057	811.992	-4613.645	8436.985	NA	NA	NA	NA	NA	NA	753.753	-4732.408	8284.596	719.251	-4789.425	8257.971	682.707	-4828.140	8247.524	642.370	-4871.608	8245.792	607.847	-4914.358	8251.264	564.842	-4969.205	8259.224	500.989	-5043.121	8269.131	484.692	-5155.132	8301.183	489.539	-5231.783	8318.027	NA	NA	NA
3203	17.88827	NA	NA	NA	819.467	-4529.375	8465.199	848.450	-4597.642	8481.089	817.811	-4608.166	8428.784	NA	NA	NA	NA	NA	NA	758.903	-4724.598	8279.953	725.750	-4783.566	8254.920	689.730	-4823.015	8244.006	648.824	-4865.953	8241.412	613.408	-4908.137	8246.505	570.865	-4963.494	8255.314	507.744	-5038.343	8266.665	481.971	-5145.712	8299.484	485.846	-5222.164	8315.754	NA	NA	NA
3204	17.89385	NA	NA	NA	822.473	-4521.618	8455.057	857.116	-4589.031	8472.835	819.013	-4606.369	8431.616	NA	NA	NA	NA	NA	NA	761.895	-4717.010	8275.716	731.639	-4777.525	8251.565	696.602	-4818.006	8240.385	655.507	-4860.506	8236.796	619.104	-4902.021	8241.264	576.671	-4957.420	8250.934	514.573	-5033.028	8264.499	479.717	-5135.849	8298.025	481.008	-5211.678	8314.806	515.773	-5284.240	8324.009
3205	17.89944	NA	NA	NA	821.633	-4513.544	8445.189	865.669	-4580.528	8463.924	818.111	-4602.673	8428.466	NA	NA	NA	NA	NA	NA	765.067	-4709.339	8270.944	737.167	-4771.310	8247.826	703.407	-4812.802	8236.566	662.355	-4855.148	8232.063	625.191	-4896.103	8235.546	582.496	-4951.158	8245.985	521.463	-5027.490	8261.742	478.181	-5125.514	8296.813	476.741	-5200.807	8314.095	512.419	-5271.630	8324.868
3206	17.90503	NA	NA	NA	824.909	-4506.060	8434.899	873.496	-4570.054	8454.258	825.925	-4597.843	8422.557	804.220	-4589.068	8359.571	NA	NA	NA	768.100	-4701.670	8265.802	742.483	-4764.938	8243.715	710.013	-4807.453	8232.540	669.338	-4849.986	8227.061	631.506	-4890.314	8229.581	588.372	-4944.893	8240.680	528.139	-5021.611	8258.480	477.611	-5114.681	8295.855	474.760	-5190.030	8312.535	512.744	-5259.193	8321.949
3207	17.91061	NA	NA	NA	827.876	-4498.237	8424.845	881.384	-4559.902	8443.756	833.629	-4592.850	8416.735	810.995	-4584.383	8353.695	NA	NA	NA	770.630	-4693.944	8260.449	747.495	-4758.297	8239.196	716.482	-4801.877	8228.281	676.425	-4844.909	8221.951	637.989	-4884.772	8223.467	594.148	-4938.771	8234.943	534.641	-5015.510	8254.759	476.484	-5104.611	8295.123	476.783	-5179.829	8309.038	512.084	-5247.109	8318.708
