NO_OF_FRAMES	229
NO_OF_CAMERAS	23
NO_OF_MARKERS	17
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 11:51:05	6347.40025363
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	
1982	11.06704	503.245	-4661.004	7715.718	496.813	-4694.769	7739.081	502.486	-4735.449	7778.910	508.056	-4765.048	7818.177	508.102	-4791.180	7859.303	492.232	-4824.063	7913.725	476.449	-4860.508	7958.739	469.250	-4902.593	7998.573	470.119	-4941.486	8039.365	470.822	-4977.880	8085.808	467.101	-5019.531	8146.171	455.052	-5050.619	8193.760	433.888	-5087.645	8250.974	426.358	-5137.910	8303.195	432.124	-5208.971	8335.271	461.070	-5292.389	8290.126	472.756	-5344.722	8334.304
1983	11.07263	500.868	-4657.765	7703.079	494.098	-4692.497	7726.362	500.091	-4732.819	7765.667	506.360	-4762.497	7804.630	508.077	-4788.577	7845.741	494.623	-4822.301	7901.596	477.997	-4857.893	7945.922	469.598	-4898.496	7987.022	469.689	-4936.218	8028.670	470.335	-4972.821	8075.347	467.382	-5015.517	8135.117	455.040	-5047.284	8181.717	432.303	-5084.411	8237.922	420.097	-5131.118	8292.676	426.697	-5200.394	8328.088	NA	NA	NA	468.074	-5346.046	8334.257
1984	11.07821	498.622	-4654.679	7690.275	491.540	-4689.964	7713.379	497.598	-4730.980	7752.539	504.568	-4760.096	7790.958	507.941	-4785.998	7832.238	495.354	-4819.650	7886.818	479.629	-4855.408	7932.845	470.373	-4894.548	7974.926	469.713	-4931.236	8017.432	470.353	-4968.208	8063.795	466.979	-5011.080	8123.820	454.572	-5043.953	8169.270	430.291	-5080.659	8225.273	414.966	-5124.329	8281.729	423.257	-5192.463	8319.655	NA	NA	NA	463.747	-5346.106	8333.867
1985	11.08380	496.344	-4651.695	7677.303	489.187	-4686.769	7700.079	495.765	-4728.992	7739.768	502.773	-4757.605	7777.069	507.508	-4783.414	7818.431	496.329	-4817.053	7873.119	481.146	-4852.614	7919.701	471.592	-4890.763	7962.428	469.875	-4926.504	8005.689	470.051	-4963.023	8052.307	466.212	-5006.488	8112.019	453.756	-5040.482	8156.660	427.971	-5076.793	8212.730	411.196	-5118.303	8269.738	420.531	-5184.997	8310.528	NA	NA	NA	460.192	-5344.604	8333.116
1986	11.08939	494.058	-4648.742	7664.118	486.756	-4684.332	7686.250	493.396	-4726.713	7725.708	500.967	-4755.275	7762.987	506.904	-4780.736	7804.482	496.935	-4814.158	7859.363	478.781	-4849.202	7908.735	473.066	-4887.208	7949.657	470.440	-4922.088	7993.355	469.764	-4957.905	8040.393	465.461	-5001.752	8099.244	452.416	-5036.417	8144.094	425.636	-5072.368	8199.989	409.569	-5118.146	8256.135	417.246	-5177.810	8301.262	NA	NA	NA	457.825	-5341.244	8331.985
1987	11.09497	491.891	-4645.778	7650.811	484.445	-4681.923	7672.047	491.077	-4724.621	7711.375	499.063	-4752.951	7748.655	506.068	-4778.136	7790.357	497.248	-4811.050	7845.498	480.103	-4846.026	7895.192	474.631	-4883.625	7936.442	471.103	-4917.763	7980.623	469.600	-4953.333	8027.873	464.329	-4997.085	8086.681	450.719	-5031.641	8131.512	423.616	-5068.291	8187.037	407.171	-5113.679	8243.274	413.043	-5170.244	8292.314	NA	NA	NA	457.064	-5335.730	8330.457
1988	11.10056	489.614	-4642.851	7637.006	482.306	-4679.626	7657.674	488.839	-4722.456	7696.964	496.915	-4750.461	7734.165	504.888	-4775.640	7776.156	497.237	-4807.831	7831.444	481.203	-4842.841	7881.549	476.262	-4880.132	7922.849	471.786	-4913.834	7967.232	469.427	-4949.065	8014.796	462.943	-4992.165	8074.014	448.774	-5026.481	8118.896	421.857	-5064.282	8173.763	404.854	-5108.746	8230.547	409.099	-5163.197	8282.201	NA	NA	NA	NA	NA	NA
1989	11.10615	488.433	-4639.976	7624.990	480.360	-4677.333	7643.003	486.597	-4720.172	7682.584	494.344	-4748.006	7719.708	503.605	-4772.765	7761.592	496.715	-4804.459	7817.365	481.836	-4839.655	7868.280	478.094	-4876.629	7909.079	472.619	-4910.438	7953.415	469.141	-4944.835	8001.348	461.506	-4987.185	8061.176	446.975	-5021.373	8106.048	420.423	-5060.182	8160.408	402.661	-5103.789	8217.137	405.181	-5156.457	8271.113	NA	NA	NA	NA	NA	NA
1990	11.11173	485.992	-4637.001	7610.400	478.551	-4674.883	7628.051	484.561	-4718.066	7667.173	496.856	-4746.545	7702.288	502.146	-4769.955	7748.474	500.915	-4802.002	7800.747	488.171	-4836.774	7851.148	479.718	-4873.223	7894.832	473.481	-4906.870	7939.236	468.855	-4940.919	7987.558	460.161	-4982.078	8048.137	445.445	-5016.023	8092.958	419.228	-5055.476	8147.043	400.546	-5099.137	8203.329	401.148	-5149.519	8259.804	NA	NA	NA	NA	NA	NA
1991	11.11732	483.489	-4634.137	7595.645	476.949	-4672.729	7613.140	482.714	-4716.037	7651.410	495.002	-4743.735	7687.146	500.348	-4766.500	7733.700	500.736	-4797.843	7786.324	489.075	-4833.589	7836.660	481.224	-4870.245	7880.265	474.400	-4903.673	7924.798	468.589	-4936.815	7973.543	458.933	-4976.926	8034.673	444.306	-5010.466	8079.729	418.387	-5050.474	8132.968	398.451	-5094.496	8189.276	398.842	-5144.122	8243.968	408.665	-5196.233	8302.860	NA	NA	NA
1992	11.12291	480.193	-4631.172	7579.965	475.324	-4670.783	7597.845	480.866	-4713.733	7634.644	493.017	-4740.976	7671.967	497.992	-4762.506	7717.874	499.903	-4793.770	7771.779	489.803	-4830.794	7821.727	482.494	-4867.161	7865.241	475.388	-4900.359	7910.154	468.279	-4932.774	7959.272	457.683	-4971.443	8021.204	443.088	-5004.455	8066.471	417.377	-5045.495	8119.114	396.137	-5089.540	8174.957	394.406	-5136.897	8231.577	402.064	-5186.209	8294.505	NA	NA	NA
1993	11.12849	477.915	-4627.450	7565.600	473.599	-4668.595	7582.382	479.380	-4711.635	7618.697	491.069	-4737.887	7656.620	495.413	-4758.685	7703.096	498.625	-4789.845	7757.022	490.197	-4827.624	7806.648	483.654	-4864.672	7850.125	476.427	-4897.119	7895.305	468.105	-4928.601	7944.767	456.539	-4966.060	8007.218	441.899	-4998.694	8052.743	416.294	-5040.425	8104.960	393.622	-5084.298	8160.321	389.863	-5129.353	8218.456	395.747	-5174.842	8285.512	NA	NA	NA
1994	11.13408	477.734	-4630.781	7543.365	471.803	-4666.294	7566.863	478.155	-4709.560	7602.674	489.572	-4734.922	7641.074	497.247	-4756.540	7685.678	496.894	-4785.813	7742.151	490.054	-4824.370	7791.713	484.490	-4861.489	7835.029	477.371	-4893.632	7880.158	468.194	-4924.433	7929.998	455.393	-4960.500	7993.029	440.608	-4992.726	8038.777	415.142	-5035.233	8090.522	391.208	-5079.147	8145.172	385.312	-5123.452	8205.457	388.811	-5162.097	8272.412	388.800	-5247.140	8327.366
1995	11.13966	475.329	-4627.157	7528.100	470.648	-4664.209	7550.797	477.374	-4707.365	7586.333	488.260	-4731.717	7625.375	495.453	-4752.699	7669.981	494.750	-4781.852	7726.974	489.750	-4820.988	7776.295	485.384	-4858.005	7819.575	478.365	-4890.674	7864.736	468.595	-4920.308	7914.763	454.554	-4955.329	7978.397	439.410	-4986.972	8024.249	413.961	-5029.990	8075.661	388.901	-5073.765	8129.693	380.504	-5115.774	8191.384	381.841	-5153.288	8257.843	380.527	-5229.874	8323.383
1996	11.14525	472.849	-4623.710	7512.335	472.745	-4662.760	7532.661	477.049	-4704.735	7569.659	487.366	-4728.527	7609.261	493.512	-4748.963	7654.212	492.574	-4778.206	7711.248	489.187	-4817.777	7760.479	486.225	-4854.598	7803.923	479.399	-4887.320	7849.068	469.204	-4916.505	7899.265	453.879	-4950.208	7963.305	438.252	-4981.218	8009.362	412.800	-5024.632	8060.583	386.719	-5068.514	8113.965	375.916	-5108.146	8176.757	375.481	-5142.289	8241.326	372.119	-5211.505	8317.814
1997	11.15084	470.413	-4619.846	7496.237	471.820	-4660.194	7515.990	477.056	-4702.358	7552.900	486.795	-4725.664	7592.580	491.683	-4745.360	7637.758	490.331	-4774.735	7695.058	488.617	-4814.049	7744.203	487.037	-4851.317	7787.957	480.582	-4883.914	7833.098	469.955	-4912.577	7883.531	453.502	-4945.403	7947.733	437.332	-4975.816	7993.957	411.483	-5019.239	8045.164	384.588	-5062.924	8098.098	370.480	-5101.410	8161.486	370.269	-5129.797	8229.091	364.312	-5182.624	8301.684
