NO_OF_FRAMES	219
NO_OF_CAMERAS	23
NO_OF_MARKERS	3
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 12:41:35	9377.67537482
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	
25889	144.62570	444.548	-5049.214	7691.402	415.204	-5180.406	7919.581	442.867	-5246.403	8155.456
25890	144.63128	444.909	-5045.399	7678.278	414.368	-5180.015	7904.901	439.983	-5239.922	8154.276
25891	144.63687	445.276	-5041.586	7664.896	413.560	-5179.521	7890.077	435.458	-5227.885	8154.398
25892	144.64246	445.729	-5037.807	7651.273	412.825	-5179.172	7874.961	431.656	-5227.664	8150.188
25893	144.64804	446.224	-5034.118	7637.375	412.126	-5178.814	7859.570	426.558	-5219.393	8141.673
25894	144.65363	446.789	-5030.477	7623.219	413.169	-5181.879	7841.300	420.339	-5210.406	8134.146
25895	144.65922	447.399	-5026.894	7608.872	412.578	-5181.567	7825.458	413.986	-5200.878	8124.770
25896	144.66480	448.017	-5023.387	7594.247	411.988	-5181.281	7809.396	407.829	-5191.018	8113.367
25897	144.67039	448.686	-5019.970	7579.389	411.315	-5181.934	7793.526	402.277	-5180.520	8100.219
25898	144.67598	449.365	-5016.585	7564.387	410.905	-5181.752	7776.894	398.295	-5171.048	8084.451
25899	144.68156	450.040	-5013.286	7549.248	406.988	-5182.488	7762.489	394.690	-5161.110	8067.802
25900	144.68715	450.662	-5009.964	7533.928	406.976	-5182.244	7745.038	391.675	-5151.225	8050.247
25901	144.69274	451.241	-5006.637	7518.457	407.106	-5181.861	7727.316	389.428	-5143.456	8032.321
25902	144.69832	451.744	-5003.239	7502.902	407.349	-5181.378	7709.408	387.507	-5135.579	8013.690
25903	144.70391	452.134	-4999.764	7487.302	407.592	-5181.128	7691.194	385.771	-5128.796	7994.946
25904	144.70950	452.480	-4996.154	7471.668	407.735	-5180.965	7672.780	384.234	-5122.743	7976.127
25905	144.71508	452.721	-4992.424	7456.096	407.827	-5180.738	7654.089	382.895	-5117.289	7957.222
25906	144.72067	452.964	-4988.576	7440.452	407.906	-5180.553	7635.190	382.198	-5111.880	7938.138
25907	144.72626	453.227	-4984.684	7424.858	407.964	-5180.324	7616.124	381.261	-5108.146	7919.214
25908	144.73184	453.423	-4980.973	7409.249	408.093	-5179.999	7596.880	377.534	-5104.193	7898.854
25909	144.73743	453.653	-4977.428	7393.662	408.300	-5179.278	7577.762	375.678	-5100.999	7879.441
25910	144.74302	453.870	-4974.032	7377.768	408.772	-5178.921	7558.875	373.322	-5098.101	7859.779
25911	144.74860	453.945	-4970.769	7361.574	409.112	-5178.332	7539.169	370.843	-5095.180	7839.859
25912	144.75419	453.948	-4967.701	7345.146	409.423	-5177.872	7519.222	368.363	-5092.605	7819.724
25913	144.75978	453.802	-4964.834	7328.435	409.789	-5177.279	7499.100	365.987	-5090.115	7799.511
25914	144.76536	453.563	-4962.144	7311.519	410.101	-5176.622	7478.709	363.678	-5088.069	7779.220
25915	144.77095	453.172	-4959.570	7294.168	410.428	-5175.886	7458.148	361.261	-5086.359	7758.749
25916	144.77654	452.622	-4957.172	7276.591	410.725	-5175.276	7437.238	358.673	-5084.923	7738.195
25917	144.78212	451.933	-4954.917	7258.532	410.991	-5174.557	7416.111	352.574	-5085.065	7718.782
25918	144.78771	451.152	-4952.685	7240.019	411.216	-5173.813	7394.777	350.439	-5084.333	7698.896
25919	144.79330	450.269	-4950.589	7221.111	411.492	-5173.012	7373.177	349.371	-5083.826	7678.980
25920	144.79888	449.313	-4948.577	7201.687	411.785	-5172.078	7351.387	346.273	-5083.505	7657.428
25921	144.80447	448.298	-4946.646	7181.775	412.173	-5171.126	7329.387	342.697	-5083.288	7635.528
25922	144.81006	447.194	-4944.689	7161.372	412.559	-5170.109	7307.192	338.932	-5083.308	7612.924
25923	144.81564	446.101	-4942.821	7140.546	413.054	-5168.964	7284.873	335.128	-5083.479	7589.706
25924	144.82123	444.983	-4940.936	7119.322	413.585	-5168.028	7261.991	331.339	-5083.148	7566.184
