NO_OF_FRAMES	234
NO_OF_CAMERAS	23
NO_OF_MARKERS	14
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 12:48:40	9802.48365829
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	
17759	99.20670	NA	NA	NA	812.546	-5464.275	7867.238	NA	NA	NA	737.012	-5436.685	7914.026	711.625	-5392.622	7949.782	NA	NA	NA	732.995	-5329.983	8046.771	NA	NA	NA	NA	NA	NA	NA	NA	NA	533.497	-5393.560	8250.006	511.596	-5401.197	8314.730	448.849	-5398.069	8424.783	NA	NA	NA
17760	99.21229	NA	NA	NA	814.322	-5461.564	7855.297	NA	NA	NA	738.255	-5434.429	7901.473	713.447	-5390.064	7937.682	NA	NA	NA	736.965	-5326.026	8034.502	642.099	-5335.680	8070.103	NA	NA	NA	NA	NA	NA	536.734	-5398.426	8235.022	517.369	-5405.038	8301.047	473.756	-5406.499	8413.259	NA	NA	NA
17761	99.21788	NA	NA	NA	816.041	-5458.758	7843.054	NA	NA	NA	739.514	-5432.115	7888.706	NA	NA	NA	NA	NA	NA	740.905	-5323.839	8023.615	637.393	-5334.180	8061.085	NA	NA	NA	566.518	-5373.490	8173.064	540.610	-5402.550	8220.421	523.248	-5408.890	8286.976	489.574	-5416.204	8402.126	415.562	-5447.027	8513.981
17762	99.22346	NA	NA	NA	817.489	-5455.795	7830.384	NA	NA	NA	740.936	-5429.720	7875.917	NA	NA	NA	NA	NA	NA	744.368	-5321.491	8012.096	641.478	-5333.547	8049.541	NA	NA	NA	569.635	-5378.247	8157.945	544.690	-5405.391	8205.739	528.761	-5412.630	8272.972	505.411	-5419.912	8392.335	442.250	-5496.418	8493.447
17763	99.22905	NA	NA	NA	818.924	-5453.055	7817.305	NA	NA	NA	762.899	-5428.699	7870.621	NA	NA	NA	NA	NA	NA	747.628	-5319.627	8000.591	645.644	-5333.003	8037.778	NA	NA	NA	572.385	-5381.628	8142.390	548.824	-5407.979	8191.282	535.644	-5416.444	8258.953	514.887	-5427.207	8386.620	470.546	-5528.892	8465.765
17764	99.23464	925.100	-5457.256	7846.859	818.889	-5451.262	7804.393	NA	NA	NA	764.572	-5426.526	7857.636	NA	NA	NA	NA	NA	NA	750.685	-5317.585	7988.524	650.344	-5332.634	8026.050	602.977	-5355.882	8074.201	NA	NA	NA	552.804	-5411.337	8176.372	543.258	-5419.865	8244.604	525.709	-5429.747	8370.543	NA	NA	NA
17765	99.24022	926.373	-5455.081	7833.083	820.109	-5448.236	7789.879	NA	NA	NA	767.040	-5424.771	7844.820	NA	NA	NA	NA	NA	NA	753.494	-5316.025	7976.401	655.263	-5332.281	8014.216	606.598	-5366.988	8050.537	576.825	-5392.536	8100.122	557.060	-5414.087	8161.260	551.081	-5423.763	8229.939	540.480	-5438.092	8356.506	NA	NA	NA
17766	99.24581	927.810	-5452.096	7819.171	821.208	-5445.011	7774.950	NA	NA	NA	769.275	-5423.088	7831.919	NA	NA	NA	NA	NA	NA	755.942	-5315.036	7963.903	659.938	-5332.091	8002.494	609.592	-5368.390	8035.645	579.330	-5394.751	8084.423	561.801	-5417.216	8145.915	558.372	-5427.662	8214.637	555.474	-5447.333	8341.388	NA	NA	NA
17767	99.25140	929.600	-5450.075	7806.579	821.916	-5441.776	7759.321	NA	NA	NA	771.620	-5421.832	7819.020	NA	NA	NA	NA	NA	NA	758.429	-5314.120	7951.099	664.894	-5331.987	7990.604	613.199	-5369.159	8021.020	582.191	-5396.715	8068.539	566.591	-5419.875	8130.249	565.607	-5431.488	8198.939	570.646	-5457.532	8324.835	NA	NA	NA
17768	99.25698	931.493	-5446.802	7792.989	822.803	-5438.583	7743.540	NA	NA	NA	774.269	-5420.432	7806.013	NA	NA	NA	NA	NA	NA	760.598	-5314.108	7938.036	669.849	-5331.873	7978.727	616.654	-5369.994	8006.152	585.381	-5398.435	8052.570	571.024	-5422.550	8114.183	573.049	-5435.348	8182.704	586.266	-5467.551	8306.778	NA	NA	NA
17769	99.26257	933.478	-5443.272	7779.355	823.883	-5435.288	7727.499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	762.501	-5314.220	7924.470	674.013	-5331.482	7966.719	619.876	-5370.068	7991.198	588.381	-5400.385	8036.222	575.429	-5425.301	8097.729	580.490	-5439.715	8165.857	602.285	-5477.414	8287.340	NA	NA	NA
17770	99.26816	935.446	-5439.841	7765.427	825.115	-5432.070	7711.205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	678.385	-5331.182	7954.181	623.037	-5369.761	7976.199	591.039	-5402.009	8019.729	581.644	-5427.313	8082.576	587.849	-5444.353	8148.322	618.302	-5487.181	8266.410	678.169	-5591.014	8274.944
17771	99.27374	937.367	-5436.381	7750.859	826.782	-5428.454	7695.004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	681.319	-5328.304	7943.583	626.527	-5369.526	7961.318	594.219	-5403.199	8003.281	586.202	-5430.340	8065.578	598.739	-5450.354	8133.097	634.551	-5496.088	8244.162	702.281	-5595.896	8253.936
17772	99.27933	939.287	-5433.227	7735.840	828.833	-5424.768	7678.891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	787.668	-5317.626	7883.868	684.644	-5331.651	7930.726	630.695	-5369.034	7946.663	597.587	-5404.169	7986.861	590.906	-5433.613	8048.068	606.765	-5455.861	8114.485	650.973	-5504.677	8220.962	724.966	-5600.292	8233.394
17773	99.28492	941.396	-5429.759	7720.437	831.275	-5420.028	7663.067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	788.479	-5318.825	7868.563	690.437	-5329.194	7919.159	633.337	-5369.459	7938.183	601.213	-5404.576	7970.434	595.815	-5436.866	8030.260	614.814	-5461.530	8095.002	669.585	-5517.297	8200.167	746.097	-5605.629	8211.346
17774	99.29050	943.507	-5426.569	7704.656	834.250	-5415.365	7647.567	NA	NA	NA	NA	NA	NA	740.078	-5364.403	7743.889	NA	NA	NA	789.236	-5320.079	7852.906	695.896	-5329.928	7906.411	637.425	-5368.128	7924.368	605.431	-5405.201	7954.062	600.730	-5440.050	8011.890	639.686	-5468.086	8070.406	NA	NA	NA	765.688	-5611.273	8189.060
17775	99.29609	945.706	-5423.397	7688.749	837.540	-5410.260	7632.336	NA	NA	NA	NA	NA	NA	743.479	-5364.774	7728.463	NA	NA	NA	790.056	-5321.369	7836.643	696.848	-5330.845	7897.424	641.069	-5366.954	7911.015	610.512	-5405.333	7938.028	605.819	-5443.314	7993.024	627.625	-5471.368	8049.223	697.261	-5530.541	8149.812	783.871	-5617.183	8165.225
17776	99.30168	947.862	-5420.315	7672.567	840.977	-5404.712	7617.246	NA	NA	NA	NA	NA	NA	746.658	-5365.485	7712.493	NA	NA	NA	791.219	-5322.295	7820.053	702.461	-5331.729	7883.463	631.599	-5367.244	7884.759	615.093	-5405.358	7921.565	611.411	-5446.647	7973.946	635.928	-5477.438	8029.240	713.156	-5535.272	8121.474	801.531	-5624.369	8141.543
17777	99.30726	949.942	-5417.192	7656.104	844.641	-5399.194	7602.342	NA	NA	NA	NA	NA	NA	749.531	-5366.284	7696.078	NA	NA	NA	792.555	-5323.073	7803.086	701.803	-5335.277	7858.750	636.083	-5366.616	7870.866	619.626	-5405.259	7904.764	617.207	-5450.126	7954.521	644.199	-5483.148	8007.144	726.715	-5541.390	8094.595	817.648	-5630.208	8114.985
17778	99.31285	951.959	-5414.388	7639.250	848.694	-5393.708	7587.719	NA	NA	NA	NA	NA	NA	752.474	-5367.154	7679.100	NA	NA	NA	794.088	-5323.749	7785.904	706.953	-5335.560	7842.842	640.845	-5365.882	7856.974	624.210	-5405.026	7887.780	622.993	-5453.339	7934.806	652.441	-5488.716	7984.511	739.611	-5547.317	8067.111	831.557	-5633.815	8086.134
17779	99.31844	954.021	-5411.502	7622.190	853.100	-5388.051	7573.548	NA	NA	NA	NA	NA	NA	755.394	-5368.138	7661.631	NA	NA	NA	795.745	-5324.404	7768.402	712.284	-5335.184	7826.689	645.991	-5364.979	7843.137	628.953	-5404.740	7870.386	629.017	-5456.630	7914.976	660.456	-5494.303	7961.212	751.938	-5553.229	8039.138	NA	NA	NA
17780	99.32402	NA	NA	NA	857.680	-5382.752	7559.576	NA	NA	NA	816.637	-5415.584	7624.280	758.389	-5368.979	7643.660	NA	NA	NA	797.660	-5324.639	7750.625	717.420	-5334.516	7809.873	651.491	-5363.996	7829.295	619.029	-5406.821	7851.066	635.023	-5459.937	7894.900	668.304	-5499.647	7937.598	763.447	-5559.293	8010.711	866.696	-5644.601	8030.016
17781	99.32961	NA	NA	NA	862.657	-5377.690	7545.601	NA	NA	NA	818.533	-5415.323	7605.383	NA	NA	NA	NA	NA	NA	799.621	-5325.001	7732.497	722.416	-5333.478	7792.585	657.114	-5363.378	7815.195	624.206	-5407.033	7834.524	641.091	-5463.155	7874.618	679.451	-5506.763	7916.241	774.573	-5565.322	7981.598	880.513	-5647.912	8000.526
17782	99.33520	NA	NA	NA	867.063	-5373.089	7531.177	NA	NA	NA	820.355	-5415.114	7586.008	764.289	-5371.091	7606.913	NA	NA	NA	801.724	-5324.874	7714.152	727.246	-5332.370	7774.901	663.138	-5362.815	7800.809	629.597	-5407.522	7818.151	647.147	-5466.125	7854.218	687.196	-5511.855	7891.932	785.003	-5571.134	7952.003	894.406	-5650.641	7969.875
