NO_OF_FRAMES	241
NO_OF_CAMERAS	23
NO_OF_MARKERS	17
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 13:00:48	10530.26477573
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	
10071	56.25698	454.004	-4517.056	7850.557	448.114	-4582.347	7857.903	450.753	-4636.484	7852.791	476.050	-4671.773	7836.197	499.715	-4713.130	7821.172	508.617	-4775.373	7822.090	494.179	-4829.273	7848.318	466.682	-4859.808	7889.540	444.348	-4877.675	7934.352	431.605	-4898.759	7988.049	434.103	-4932.394	8054.923	435.225	-4957.665	8107.706	436.895	-4987.931	8171.642	438.294	-5025.892	8237.167	446.800	-5072.349	8299.914	484.103	-5127.898	8309.246	463.985	-5160.435	8219.373
10072	56.26257	455.284	-4514.754	7833.680	449.327	-4579.677	7841.682	450.353	-4634.001	7838.168	476.213	-4669.633	7823.549	500.490	-4711.090	7809.998	509.351	-4773.437	7811.612	494.828	-4827.719	7837.020	467.053	-4859.522	7877.075	443.965	-4878.287	7921.335	430.625	-4899.549	7974.868	432.406	-4930.614	8042.738	434.398	-4955.077	8095.986	436.750	-4984.433	8160.269	438.020	-5020.475	8226.755	441.845	-5063.240	8292.705	487.911	-5108.509	8315.138	469.796	-5137.134	8224.146
10073	56.26816	456.741	-4512.688	7816.587	450.296	-4577.209	7825.148	450.325	-4631.538	7823.046	476.254	-4667.450	7810.545	501.221	-4708.985	7798.573	510.025	-4771.380	7801.074	495.379	-4826.097	7825.711	467.287	-4859.035	7864.475	443.533	-4879.045	7908.149	429.397	-4899.750	7961.526	430.909	-4929.202	8030.092	433.587	-4952.921	8083.684	436.575	-4980.854	8148.519	437.108	-5014.760	8216.150	439.016	-5054.009	8284.589	482.992	-5106.511	8309.097	476.824	-5117.760	8231.768
10074	56.27374	458.313	-4510.877	7799.185	451.602	-4575.152	7808.625	450.149	-4629.187	7807.752	476.176	-4665.491	7797.295	501.934	-4706.806	7786.887	510.833	-4769.374	7790.525	495.950	-4824.455	7814.503	467.511	-4858.400	7851.901	443.197	-4879.472	7894.807	428.146	-4899.935	7948.059	429.486	-4928.196	8017.019	432.800	-4951.158	8070.981	436.112	-4977.506	8136.439	436.491	-5008.907	8205.151	437.205	-5045.185	8274.398	474.707	-5094.835	8310.711	484.139	-5101.357	8239.927
10075	56.27933	459.843	-4509.244	7781.229	450.270	-4573.131	7792.384	450.111	-4626.976	7791.913	481.749	-4663.256	7783.583	505.810	-4704.607	7775.555	511.683	-4767.375	7779.855	496.473	-4822.517	7803.219	467.644	-4857.539	7839.147	442.836	-4879.757	7881.309	427.119	-4900.184	7934.374	428.093	-4927.571	8003.546	432.062	-4949.551	8057.834	435.329	-4973.976	8124.036	435.885	-5003.061	8193.733	435.934	-5035.528	8264.593	465.808	-5082.692	8309.755	490.477	-5089.151	8247.605
10076	56.28492	461.553	-4507.831	7763.073	451.393	-4570.754	7775.594	450.117	-4624.906	7775.576	481.210	-4661.487	7769.526	507.298	-4702.342	7763.514	512.610	-4765.218	7768.956	496.942	-4820.283	7791.756	467.766	-4856.314	7826.303	440.474	-4880.227	7869.404	426.126	-4900.749	7920.350	426.731	-4927.189	7989.646	431.047	-4948.328	8044.433	434.537	-4970.577	8111.224	435.268	-4997.094	8181.940	435.785	-5025.847	8254.398	458.274	-5071.680	8306.977	493.067	-5082.362	8252.659
10077	56.29050	463.379	-4506.640	7744.715	452.424	-4569.099	7757.936	449.998	-4623.004	7758.838	480.634	-4659.586	7755.215	508.613	-4700.056	7751.220	513.580	-4762.878	7757.880	497.433	-4817.923	7780.068	467.889	-4854.804	7813.299	440.294	-4879.827	7855.560	425.210	-4901.260	7906.101	425.283	-4927.014	7975.526	429.726	-4946.898	8030.793	433.554	-4967.399	8098.162	434.667	-4990.867	8169.811	436.257	-5015.968	8243.615	452.013	-5057.448	8303.223	493.906	-5084.597	8257.053
10078	56.29609	465.295	-4505.608	7726.153	453.568	-4567.695	7739.814	449.567	-4621.313	7741.796	479.990	-4657.739	7740.923	509.494	-4697.754	7738.565	514.583	-4760.416	7746.529	497.843	-4814.486	7768.790	468.006	-4852.317	7800.510	440.161	-4879.375	7841.577	424.395	-4901.923	7891.539	423.674	-4926.975	7961.140	428.205	-4945.888	8016.714	432.323	-4964.304	8084.714	434.284	-4984.630	8157.238	436.902	-5005.828	8232.218	448.422	-5038.606	8296.898	492.275	-5089.634	8266.597
10079	56.30168	467.297	-4504.700	7707.418	456.786	-4565.916	7719.625	448.784	-4619.552	7724.536	479.468	-4656.095	7726.754	509.604	-4695.940	7725.297	515.644	-4757.854	7734.807	498.210	-4811.887	7756.701	468.094	-4850.498	7787.329	440.065	-4878.855	7827.405	423.647	-4902.332	7876.841	422.106	-4927.126	7946.417	426.501	-4945.020	8002.419	430.907	-4961.254	8070.876	434.034	-4978.219	8144.236	437.497	-4995.496	8220.127	447.075	-5024.308	8287.390	NA	NA	NA
10080	56.30726	469.273	-4503.963	7688.458	457.731	-4564.938	7701.500	448.058	-4618.022	7707.081	478.732	-4654.619	7711.379	509.579	-4693.658	7711.751	516.549	-4755.269	7722.776	498.623	-4809.243	7744.522	468.227	-4848.512	7774.046	440.098	-4877.429	7813.458	423.029	-4902.726	7861.925	420.418	-4927.218	7931.585	424.554	-4944.112	7987.816	429.653	-4958.234	8056.747	433.590	-4971.655	8130.808	438.433	-4985.395	8207.302	446.793	-5011.292	8276.474	489.428	-5093.205	8303.871
