NO_OF_FRAMES	240
NO_OF_CAMERAS	23
NO_OF_MARKERS	18
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-25, 13:04:03	7654.40460165
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	18 X	18 Y	18 Z	
2045	11.41899	676.796	-4529.945	7673.913	665.591	-4550.917	7683.860	669.997	-4592.612	7696.688	632.937	-4622.461	7718.407	586.794	-4613.955	7726.941	540.816	-4632.711	7742.351	534.766	-4681.232	7773.034	556.997	-4728.792	7810.940	570.417	-4767.846	7849.830	578.105	-4802.792	7893.772	574.172	-4843.566	7949.240	560.595	-4875.690	8000.403	539.102	-4899.792	8061.185	507.130	-4911.290	8120.858	482.097	-4913.983	8180.197	447.146	-4916.924	8249.589	394.856	-4909.875	8307.468	304.880	-4907.038	8351.324
2046	11.42458	677.652	-4524.602	7659.482	666.503	-4545.617	7669.421	671.688	-4587.184	7682.307	635.523	-4617.948	7704.119	589.402	-4609.173	7712.719	543.537	-4624.905	7729.620	536.044	-4675.422	7758.413	559.288	-4722.468	7797.074	573.841	-4761.582	7835.247	582.190	-4796.904	7877.942	579.066	-4836.846	7934.144	566.095	-4867.868	7985.951	545.074	-4891.128	8047.516	513.431	-4900.819	8107.690	488.046	-4901.674	8166.925	452.626	-4901.763	8236.001	402.609	-4892.614	8296.440	321.661	-4877.251	8353.770
2047	11.43017	678.503	-4519.267	7644.915	667.426	-4540.296	7654.843	673.374	-4581.778	7667.737	638.055	-4613.435	7689.577	592.020	-4604.411	7698.330	545.779	-4619.038	7715.301	537.414	-4669.622	7743.565	561.025	-4717.561	7780.035	576.956	-4756.051	7819.180	586.251	-4791.028	7861.898	583.843	-4830.155	7918.683	571.550	-4860.130	7971.239	550.965	-4882.288	8033.530	519.822	-4890.260	8094.171	494.048	-4888.913	8153.230	458.368	-4885.880	8222.092	410.403	-4885.686	8278.475	341.816	-4862.245	8346.607
2048	11.43575	679.425	-4513.897	7630.289	668.390	-4535.006	7640.159	675.469	-4576.574	7653.507	640.570	-4608.899	7674.947	594.597	-4599.685	7683.630	548.009	-4613.191	7700.775	538.929	-4663.956	7728.331	563.373	-4711.485	7765.482	580.076	-4750.490	7802.808	590.159	-4785.150	7845.584	588.509	-4823.432	7902.954	576.903	-4852.327	7956.268	554.726	-4873.389	8020.122	526.227	-4879.487	8080.314	499.958	-4876.211	8139.074	463.987	-4870.638	8207.372	418.679	-4867.498	8265.944	363.422	-4835.967	8340.887
2049	11.44134	680.375	-4508.600	7615.457	669.424	-4529.709	7625.360	677.135	-4571.159	7638.678	643.048	-4604.294	7660.150	597.137	-4594.928	7668.750	550.250	-4607.420	7685.905	540.520	-4658.173	7712.903	565.537	-4706.011	7749.206	583.162	-4744.896	7786.165	593.973	-4779.249	7828.999	593.080	-4816.687	7886.779	582.169	-4844.511	7940.915	560.398	-4864.505	8005.182	532.643	-4868.473	8066.140	505.964	-4863.550	8124.525	470.176	-4854.878	8192.468	427.494	-4849.296	8252.706	383.438	-4812.848	8331.428
2050	11.44693	681.375	-4503.259	7600.531	670.500	-4524.415	7610.402	678.713	-4565.757	7623.487	645.552	-4599.702	7645.135	599.638	-4590.265	7653.689	552.469	-4601.688	7670.840	542.121	-4652.561	7697.222	567.783	-4700.549	7732.646	586.311	-4739.251	7769.310	597.702	-4773.297	7812.171	597.495	-4810.009	7870.587	587.358	-4836.716	7925.273	566.332	-4855.180	7990.259	539.093	-4857.532	8051.557	511.992	-4850.798	8109.640	476.762	-4839.403	8177.418	436.682	-4831.498	8239.090	405.234	-4791.943	8319.336
2051	11.45251	682.393	-4497.950	7585.380	671.597	-4519.134	7595.303	680.387	-4560.445	7608.113	647.975	-4595.125	7629.866	602.117	-4585.590	7638.378	554.722	-4596.014	7655.481	543.787	-4646.927	7681.231	570.117	-4695.099	7715.835	589.492	-4733.534	7752.225	601.347	-4767.355	7795.042	601.858	-4803.264	7853.851	592.551	-4828.878	7909.351	572.180	-4846.049	7974.910	545.556	-4846.429	8036.687	518.282	-4837.877	8094.236	484.383	-4823.696	8162.219	447.612	-4812.900	8225.575	422.492	-4772.068	8307.139
2052	11.45810	683.484	-4492.709	7570.122	672.690	-4513.871	7579.947	681.985	-4555.092	7592.737	650.438	-4590.528	7614.406	604.568	-4580.962	7622.829	556.915	-4590.332	7639.895	545.433	-4641.401	7664.945	572.507	-4689.620	7698.716	592.636	-4727.830	7734.849	604.999	-4761.349	7777.699	606.111	-4796.521	7837.095	598.059	-4821.195	7893.878	578.051	-4836.841	7959.236	550.014	-4835.713	8023.368	524.158	-4824.987	8078.316	491.877	-4808.101	8146.413	457.690	-4795.305	8211.020	438.925	-4753.237	8293.581
2053	11.46369	684.648	-4487.382	7554.676	673.885	-4508.580	7564.552	683.658	-4549.787	7577.141	652.879	-4585.906	7598.729	607.071	-4576.388	7607.082	559.134	-4584.762	7624.002	547.134	-4635.832	7648.418	574.946	-4684.109	7681.376	595.852	-4722.126	7717.306	608.753	-4755.258	7760.184	610.319	-4789.841	7819.713	603.075	-4813.408	7877.213	583.915	-4827.214	7943.331	556.500	-4824.429	8007.518	531.023	-4811.842	8062.255	499.656	-4792.762	8130.182	467.717	-4777.899	8195.556	451.368	-4735.180	8280.208
2054	11.46927	685.844	-4482.091	7539.006	675.079	-4503.298	7548.921	685.263	-4544.525	7561.271	655.339	-4581.261	7582.794	609.543	-4571.774	7591.010	561.343	-4579.180	7607.793	548.782	-4630.332	7631.563	577.350	-4678.621	7663.812	599.109	-4716.369	7699.425	612.449	-4749.102	7742.378	614.861	-4782.073	7803.583	608.000	-4805.581	7860.286	589.674	-4817.828	7926.954	562.919	-4813.188	7991.288	537.929	-4798.694	8045.858	507.693	-4777.497	8113.717	477.795	-4760.622	8179.515	465.562	-4717.676	8265.173
