NO_OF_FRAMES	211
NO_OF_CAMERAS	23
NO_OF_MARKERS	12
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-25, 17:51:17	5834.69910782
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	
6668	37.24581	312.900	-4558.029	7699.992	310.007	-4656.200	7775.119	351.375	-4718.069	7811.489	376.351	-4766.319	7852.574	380.704	-4813.541	7897.793	389.325	-4869.833	7963.555	394.110	-4925.238	8025.432	410.700	-4975.570	8095.483	419.494	-5005.554	8168.062	450.888	-5048.261	8235.363	444.594	-5136.066	8227.573	404.285	-5190.372	8134.656
6669	37.25140	313.979	-4555.658	7684.740	308.580	-4652.057	7761.710	349.773	-4713.480	7799.300	375.250	-4761.059	7840.981	379.968	-4807.751	7886.619	388.024	-4862.808	7953.452	392.430	-4917.342	8016.066	409.239	-4967.348	8086.325	417.454	-4997.795	8158.648	447.053	-5038.436	8227.928	NA	NA	NA	403.976	-5185.372	8139.148
6670	37.25698	315.078	-4553.379	7669.308	307.070	-4647.957	7748.159	348.005	-4709.005	7786.909	374.022	-4755.839	7829.146	378.851	-4802.118	7875.498	386.466	-4855.785	7943.129	390.924	-4909.496	8006.457	407.792	-4959.125	8076.978	415.296	-4990.143	8149.125	443.343	-5029.228	8219.584	NA	NA	NA	403.950	-5178.806	8145.121
6671	37.26257	316.209	-4551.171	7653.748	305.514	-4643.858	7734.352	346.071	-4704.534	7774.296	372.741	-4750.612	7817.098	378.082	-4796.421	7863.759	385.215	-4849.044	7932.462	389.455	-4901.723	7996.574	406.321	-4950.812	8067.432	413.304	-4982.379	8139.394	439.615	-5020.830	8210.662	470.209	-5101.871	8244.157	405.800	-5169.350	8152.509
6672	37.26816	317.429	-4548.968	7638.212	303.996	-4639.960	7720.170	344.122	-4700.171	7761.505	371.356	-4745.439	7804.923	377.296	-4790.798	7851.900	384.026	-4842.302	7921.478	388.355	-4893.969	7986.411	404.783	-4942.543	8057.698	411.465	-4974.734	8129.406	430.233	-5012.332	8204.899	465.246	-5091.998	8252.673	410.292	-5156.215	8161.604
6673	37.27374	318.720	-4546.753	7622.572	302.472	-4636.149	7705.729	341.894	-4695.858	7748.767	369.872	-4740.289	7792.507	376.368	-4785.172	7839.874	382.995	-4835.630	7910.262	387.325	-4886.300	7975.938	403.419	-4934.270	8047.613	409.352	-4967.217	8119.120	427.565	-5005.273	8194.511	464.937	-5076.649	8256.088	416.147	-5140.217	8170.608
6674	37.27933	320.072	-4544.510	7606.969	300.879	-4632.354	7691.175	340.056	-4691.551	7735.275	368.322	-4735.133	7779.840	375.552	-4779.597	7827.547	382.102	-4829.023	7898.787	386.223	-4878.659	7965.225	401.891	-4926.052	8037.351	407.096	-4959.707	8108.490	425.410	-4998.038	8183.751	464.304	-5059.760	8256.134	422.139	-5122.359	8177.660
6675	37.28492	321.443	-4542.230	7591.323	298.800	-4628.762	7676.842	337.706	-4687.408	7721.924	366.645	-4730.048	7766.967	374.683	-4774.022	7815.024	381.097	-4822.464	7887.084	385.348	-4871.058	7954.231	400.413	-4917.894	8026.729	404.836	-4952.578	8097.400	423.799	-4990.115	8172.903	459.866	-5043.539	8254.719	426.937	-5100.770	8186.407
6676	37.29050	322.793	-4539.847	7575.697	297.825	-4625.196	7661.083	335.420	-4683.378	7708.146	364.911	-4725.175	7753.904	373.758	-4768.534	7802.367	379.001	-4815.934	7876.139	384.435	-4863.528	7942.867	398.928	-4909.904	8015.688	402.742	-4945.747	8085.952	422.276	-4981.689	8161.987	458.238	-5029.113	8248.865	438.714	-5080.250	8199.854
6677	37.29609	324.148	-4537.420	7559.944	295.997	-4621.817	7645.967	332.869	-4679.426	7694.355	363.122	-4720.187	7740.529	372.839	-4763.007	7789.432	378.357	-4809.359	7863.753	383.692	-4855.959	7931.219	397.168	-4902.313	8004.333	400.907	-4938.794	8074.162	420.840	-4973.203	8150.797	460.414	-5016.445	8238.440	NA	NA	NA
