NO_OF_FRAMES	241
NO_OF_CAMERAS	23
NO_OF_MARKERS	14
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-26, 11:52:08	70685.37410805
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	
3999	22.33520	NA	NA	NA	755.638	-4887.621	7627.127	705.540	-4888.542	7668.475	694.099	-4928.352	7699.490	684.996	-4982.814	7727.604	661.501	-5012.684	7776.634	625.266	-5017.207	7833.523	597.992	-5025.000	7892.396	575.680	-5032.089	7927.289	NA	NA	NA	NA	NA	NA	NA	NA	NA	449.676	-4927.710	8077.728	512.357	-4916.212	8096.584
4000	22.34078	NA	NA	NA	760.296	-4886.802	7616.157	708.261	-4886.457	7655.283	695.721	-4925.515	7686.384	687.976	-4977.856	7713.554	665.456	-5012.108	7761.077	628.760	-5015.100	7817.630	602.898	-5021.532	7877.396	581.898	-5028.420	7913.329	NA	NA	NA	NA	NA	NA	NA	NA	NA	444.464	-4925.150	8066.129	503.822	-4907.864	8084.792
4001	22.34637	790.873	-4847.742	7567.665	764.878	-4886.156	7604.906	711.019	-4884.512	7641.800	697.253	-4922.580	7673.085	691.107	-4975.334	7698.839	669.488	-5011.516	7745.420	632.248	-5013.132	7801.452	607.442	-5018.116	7861.881	587.749	-5024.295	7898.752	NA	NA	NA	NA	NA	NA	NA	NA	NA	439.704	-4921.508	8054.139	493.927	-4905.049	8077.479
4002	22.35196	795.488	-4847.547	7556.145	769.253	-4885.700	7593.293	713.773	-4882.596	7627.975	698.792	-4919.573	7659.599	694.367	-4972.750	7683.975	673.836	-5010.697	7729.734	635.795	-5011.375	7784.997	611.539	-5014.839	7845.764	593.393	-5020.379	7883.803	NA	NA	NA	NA	NA	NA	NA	NA	NA	435.187	-4917.614	8041.437	483.868	-4896.399	8060.871
4003	22.35754	800.003	-4847.488	7544.295	773.512	-4885.318	7581.446	713.117	-4882.202	7615.067	700.272	-4916.502	7645.899	697.781	-4970.059	7669.204	678.302	-5009.779	7713.962	639.416	-5009.817	7768.301	615.422	-5011.674	7829.239	598.598	-5016.692	7868.276	NA	NA	NA	NA	NA	NA	NA	NA	NA	430.703	-4914.299	8027.704	472.052	-4895.787	8054.071
4004	22.36313	804.453	-4847.450	7532.071	777.628	-4885.064	7569.160	716.164	-4880.719	7600.741	701.859	-4913.209	7631.844	706.336	-4966.229	7648.828	682.999	-5008.726	7698.037	643.208	-5008.419	7751.486	619.095	-5008.558	7812.367	603.565	-5012.924	7852.296	NA	NA	NA	NA	NA	NA	NA	NA	NA	426.043	-4912.393	8012.619	455.821	-4885.657	8042.292
4005	22.36872	808.817	-4847.593	7519.408	781.693	-4884.816	7556.515	719.446	-4879.132	7586.267	703.616	-4909.894	7617.548	709.830	-4962.980	7634.210	687.819	-5007.503	7682.045	647.249	-5007.091	7734.536	622.549	-5005.591	7795.069	608.150	-5008.997	7835.758	NA	NA	NA	NA	NA	NA	NA	NA	NA	420.997	-4912.726	7995.863	442.927	-4881.487	8029.243
4006	22.37430	813.179	-4847.676	7506.254	785.634	-4884.667	7543.309	725.299	-4878.365	7577.864	705.129	-4906.550	7602.920	713.172	-4959.622	7619.534	692.691	-5006.098	7665.853	651.313	-5005.929	7717.344	625.896	-5002.843	7777.317	612.323	-5005.055	7818.720	NA	NA	NA	526.245	-4982.294	7944.059	NA	NA	NA	415.358	-4916.130	7977.115	427.225	-4878.848	8015.348
4007	22.37989	817.392	-4847.857	7492.750	789.438	-4884.559	7529.709	728.834	-4877.048	7563.130	706.890	-4903.225	7587.945	716.515	-4956.028	7604.652	697.713	-5004.469	7649.615	655.563	-5004.820	7700.077	629.213	-5000.104	7759.423	616.090	-5001.156	7801.460	574.692	-5013.882	7860.638	532.071	-4980.353	7928.943	NA	NA	NA	408.915	-4923.434	7956.055	410.953	-4876.405	7999.629
4008	22.38547	821.572	-4847.989	7478.875	793.209	-4884.499	7515.787	732.307	-4875.451	7548.279	705.854	-4900.344	7574.595	715.011	-4953.685	7595.085	702.869	-5002.528	7633.271	659.925	-5003.788	7682.667	632.377	-4997.492	7741.084	619.908	-4997.291	7783.769	579.966	-5009.915	7843.726	525.372	-5001.311	7907.481	NA	NA	NA	402.961	-4931.602	7937.029	393.275	-4876.842	7979.240
