NO_OF_FRAMES	232
NO_OF_CAMERAS	23
NO_OF_MARKERS	13
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-26, 16:26:46	87164.15977751
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	
5579	31.16201	397.244	-4447.698	7902.386	419.890	-4504.702	7911.346	439.633	-4558.552	7927.607	460.486	-4614.496	7945.712	478.053	-4672.616	7966.994	485.220	-4736.532	7992.830	486.692	-4793.742	8030.453	489.750	-4837.690	8073.585	497.690	-4889.384	8128.705	496.198	-4955.332	8169.989	NA	NA	NA	456.815	-5074.454	8249.487	429.454	-5172.104	8276.739
5580	31.16760	397.290	-4441.202	7890.747	419.287	-4498.326	7900.425	438.856	-4552.201	7916.974	460.078	-4607.804	7935.327	478.149	-4665.490	7957.313	485.815	-4729.021	7984.171	487.452	-4786.005	8022.163	490.503	-4829.376	8065.891	498.781	-4879.888	8122.151	497.642	-4944.431	8165.210	483.782	-4996.724	8199.365	460.063	-5057.279	8245.563	425.289	-5159.260	8270.630
5581	31.17318	397.334	-4434.546	7878.814	418.479	-4492.044	7889.221	437.955	-4545.745	7906.132	459.446	-4601.246	7924.802	476.693	-4657.781	7948.651	486.445	-4721.418	7975.379	488.123	-4778.168	8013.754	491.323	-4821.140	8057.820	499.862	-4870.663	8114.943	499.071	-4933.753	8160.165	485.988	-4986.240	8194.568	464.384	-5046.832	8244.276	422.528	-5143.016	8263.581
5582	31.17877	397.501	-4427.913	7866.672	417.455	-4485.689	7877.625	437.104	-4539.344	7894.969	458.690	-4594.704	7914.078	476.471	-4650.712	7938.578	487.100	-4713.722	7966.438	488.872	-4770.217	8005.157	492.100	-4812.949	8049.428	500.678	-4861.701	8107.254	500.421	-4923.168	8154.803	488.142	-4975.508	8189.688	468.804	-5034.524	8242.129	429.462	-5125.536	8251.331
5583	31.18436	397.741	-4421.414	7854.400	416.708	-4479.474	7865.750	436.208	-4533.001	7883.534	457.871	-4588.126	7903.000	476.136	-4643.675	7928.331	487.821	-4705.966	7957.284	489.874	-4762.329	7996.308	492.873	-4804.909	8040.705	501.316	-4852.915	8099.123	501.805	-4912.590	8149.114	490.073	-4964.999	8184.905	472.654	-5025.157	8240.190	421.939	-5105.620	8253.314
5584	31.18994	397.893	-4414.946	7841.620	416.097	-4473.005	7853.626	435.170	-4526.743	7871.724	456.932	-4581.562	7891.685	475.575	-4636.619	7917.937	488.457	-4698.179	7948.024	491.094	-4754.366	7987.131	493.684	-4796.951	8031.499	501.774	-4844.234	8090.652	503.292	-4901.998	8142.881	492.067	-4953.728	8179.994	475.745	-5007.040	8236.790	421.019	-5087.519	8251.889
5585	31.19553	397.990	-4408.601	7828.511	415.856	-4466.679	7841.047	434.182	-4520.503	7859.573	455.884	-4575.085	7880.165	474.908	-4629.449	7907.458	489.076	-4690.125	7938.381	492.532	-4746.373	7977.743	494.592	-4789.033	8021.989	502.166	-4835.706	8081.741	504.975	-4891.492	8136.076	494.474	-4942.116	8174.771	478.236	-4993.890	8233.016	420.900	-5069.050	8251.113
5586	31.20112	398.033	-4402.410	7815.107	415.683	-4460.280	7828.294	433.291	-4514.232	7847.118	454.747	-4568.606	7868.455	474.173	-4622.278	7896.738	489.751	-4682.303	7928.640	494.265	-4738.296	7967.946	495.736	-4781.230	8012.143	502.550	-4827.213	8072.358	506.662	-4880.852	8128.913	496.929	-4930.156	8169.518	480.391	-4980.612	8228.653	421.716	-5051.542	8251.588
5587	31.20670	398.059	-4396.461	7801.265	414.295	-4453.029	7816.345	432.591	-4508.006	7834.404	453.601	-4562.187	7856.525	473.498	-4615.282	7885.747	488.959	-4673.746	7919.803	494.323	-4729.675	7959.475	496.910	-4773.430	8001.970	503.027	-4818.982	8062.566	508.392	-4870.195	8121.212	501.013	-4917.950	8163.536	476.568	-4964.678	8230.016	422.896	-5037.402	8252.677
5588	31.21229	398.083	-4390.766	7786.993	414.439	-4446.899	7802.872	431.862	-4501.754	7821.516	452.582	-4555.763	7844.372	472.889	-4608.133	7874.538	489.873	-4665.761	7909.175	496.372	-4721.642	7949.092	498.423	-4765.516	7991.501	503.802	-4810.943	8052.335	510.039	-4859.492	8113.115	503.158	-4905.178	8157.665	478.727	-4951.249	8224.964	424.885	-5021.628	8254.793
