NO_OF_FRAMES	321
NO_OF_CAMERAS	23
NO_OF_MARKERS	18
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-27, 12:20:35	11529.31991203
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	18 X	18 Y	18 Z	
13312	74.36313	NA	NA	NA	NA	NA	NA	705.449	-4790.793	8531.789	NA	NA	NA	646.579	-4811.491	8454.053	NA	NA	NA	601.725	-4880.139	8377.398	566.222	-4916.368	8339.831	528.662	-4923.193	8299.960	491.296	-4920.237	8254.993	471.737	-4960.804	8208.839	474.929	-5023.811	8213.635	489.624	-5057.037	8268.762	NA	NA	NA	NA	NA	NA	470.404	-5208.075	8259.812	470.797	-5244.072	8316.007	479.291	-5315.474	8262.760
13313	74.36872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	651.534	-4804.126	8461.297	NA	NA	NA	604.688	-4871.222	8380.710	572.523	-4907.814	8345.254	534.055	-4920.267	8305.156	497.106	-4918.845	8261.737	473.950	-4955.000	8213.323	474.053	-5018.325	8211.214	487.249	-5054.569	8264.548	NA	NA	NA	NA	NA	NA	470.837	-5205.871	8258.072	467.629	-5242.169	8313.921	477.383	-5308.788	8258.386
13314	74.37430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	656.468	-4796.567	8468.409	NA	NA	NA	NA	NA	NA	578.696	-4898.425	8349.981	540.496	-4915.065	8311.315	503.304	-4917.438	8268.417	476.686	-4949.574	8218.389	473.828	-5012.208	8209.615	485.133	-5052.073	8260.124	NA	NA	NA	NA	NA	NA	NA	NA	NA	464.967	-5240.462	8310.823	468.828	-5299.214	8260.214
13315	74.37989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	661.383	-4789.411	8475.046	NA	NA	NA	NA	NA	NA	584.489	-4888.206	8354.154	547.192	-4909.574	8317.068	509.613	-4915.959	8275.059	480.055	-4944.443	8224.003	474.080	-5005.800	8208.999	483.453	-5049.793	8255.666	NA	NA	NA	NA	NA	NA	NA	NA	NA	462.477	-5239.424	8306.957	470.107	-5290.482	8262.354
13316	74.38547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	666.326	-4782.534	8481.024	NA	NA	NA	NA	NA	NA	590.432	-4877.457	8357.561	554.012	-4903.394	8322.212	516.331	-4913.845	8281.489	483.142	-4939.903	8230.572	472.734	-4999.514	8211.282	481.997	-5047.476	8251.147	487.594	-5088.184	8305.310	NA	NA	NA	NA	NA	NA	461.213	-5238.663	8301.960	481.635	-5282.890	8260.124
13317	74.39106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	671.469	-4776.313	8486.324	NA	NA	NA	NA	NA	NA	598.705	-4866.191	8359.659	560.925	-4896.459	8326.886	523.278	-4911.079	8287.706	489.103	-4935.652	8236.304	476.200	-4992.580	8210.657	480.744	-5044.931	8246.775	491.644	-5085.002	8304.696	NA	NA	NA	NA	NA	NA	460.299	-5237.763	8296.687	483.243	-5274.949	8264.378
13318	74.39665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	676.805	-4770.347	8490.987	NA	NA	NA	NA	NA	NA	603.717	-4854.704	8362.385	567.889	-4888.659	8331.008	530.394	-4907.444	8293.902	494.361	-4931.796	8242.875	478.114	-4985.918	8212.838	479.510	-5042.314	8242.126	510.298	-5087.395	8285.806	NA	NA	NA	451.041	-5185.574	8270.565	459.358	-5236.576	8291.200	485.864	-5269.197	8269.258
13319	74.40223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	682.321	-4764.489	8495.204	NA	NA	NA	NA	NA	NA	608.813	-4843.292	8364.779	574.799	-4880.229	8334.773	537.858	-4903.389	8299.500	499.990	-4928.098	8249.688	480.646	-4979.103	8215.745	478.419	-5038.955	8237.528	505.866	-5083.976	8285.163	NA	NA	NA	451.699	-5182.996	8278.936	458.317	-5235.511	8285.895	511.939	-5271.456	8262.597
13320	74.40782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	688.082	-4758.393	8498.796	NA	NA	NA	NA	NA	NA	613.542	-4831.739	8367.064	581.849	-4871.210	8338.129	545.450	-4898.584	8304.821	504.784	-4924.364	8255.927	483.972	-4972.593	8219.338	481.192	-5034.590	8232.074	502.878	-5080.898	8280.656	NA	NA	NA	453.009	-5180.616	8288.396	NA	NA	NA	NA	NA	NA
13321	74.41341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	693.681	-4752.716	8502.066	NA	NA	NA	636.817	-4777.659	8409.470	617.983	-4820.313	8369.235	588.521	-4861.636	8340.971	553.050	-4892.821	8309.643	511.609	-4920.826	8262.439	487.752	-4966.256	8223.738	481.172	-5029.169	8228.820	496.412	-5078.257	8277.671	NA	NA	NA	456.809	-5178.343	8292.422	NA	NA	NA	NA	NA	NA
