NO_OF_FRAMES	224
NO_OF_CAMERAS	23
NO_OF_MARKERS	16
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-29, 12:34:19	11814.01908307
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	
13361	74.63687	NA	NA	NA	NA	NA	NA	1059.475	-4811.361	8178.372	1044.033	-4858.457	8176.677	987.615	-4900.047	8175.898	924.371	-4891.958	8166.412	861.579	-4883.306	8159.577	809.401	-4891.333	8160.747	746.805	-4915.189	8165.566	690.227	-4955.250	8183.268	633.134	-4931.600	8223.663	581.063	-5006.047	8230.990	519.987	-5103.735	8234.633	NA	NA	NA	395.475	-5008.367	8255.596	437.107	-4892.550	8353.076
13362	74.64246	NA	NA	NA	NA	NA	NA	NA	NA	NA	1042.159	-4857.161	8155.330	996.601	-4897.232	8167.146	933.231	-4890.619	8158.801	870.493	-4880.962	8152.442	818.211	-4887.701	8153.788	751.060	-4915.499	8162.087	698.962	-4950.412	8176.652	642.377	-4927.256	8219.123	591.883	-5001.234	8229.497	531.838	-5129.436	8223.741	NA	NA	NA	391.474	-5005.376	8260.873	429.297	-4886.726	8351.805
13363	74.64804	NA	NA	NA	NA	NA	NA	NA	NA	NA	1048.852	-4851.564	8146.637	1007.679	-4892.145	8161.329	942.882	-4889.007	8152.080	879.330	-4878.754	8145.184	826.831	-4884.196	8146.792	759.621	-4910.224	8155.603	707.380	-4945.417	8169.993	650.279	-4922.650	8211.856	602.914	-4996.220	8228.074	540.091	-5119.367	8222.696	NA	NA	NA	459.423	-5053.924	8267.441	NA	NA	NA
13364	74.65363	1175.554	-4728.431	8149.135	NA	NA	NA	NA	NA	NA	1055.484	-4845.882	8137.739	1016.117	-4888.982	8151.582	951.224	-4887.787	8143.267	888.042	-4876.599	8137.770	835.346	-4880.687	8139.788	768.414	-4904.980	8149.465	715.682	-4940.703	8163.178	661.972	-4949.491	8200.603	608.869	-4974.356	8220.780	550.513	-5100.238	8225.144	NA	NA	NA	464.616	-5026.667	8275.954	NA	NA	NA
13365	74.65922	1183.031	-4724.680	8140.921	NA	NA	NA	NA	NA	NA	1061.941	-4840.215	8128.708	1024.352	-4885.681	8141.421	959.915	-4886.319	8134.564	896.721	-4874.432	8130.250	843.847	-4877.236	8132.778	776.723	-4900.117	8142.787	723.951	-4936.178	8156.070	671.717	-4956.111	8184.765	619.202	-4971.775	8215.627	560.436	-5098.321	8220.266	372.241	-5048.238	8303.993	470.202	-5012.811	8272.866	NA	NA	NA
13366	74.66480	1190.683	-4720.950	8132.783	NA	NA	NA	NA	NA	NA	1068.267	-4834.682	8119.374	1032.595	-4882.187	8131.066	968.556	-4884.722	8125.497	905.268	-4872.271	8122.475	852.322	-4873.845	8125.638	783.752	-4895.946	8134.392	732.013	-4931.539	8148.533	680.562	-4952.269	8177.826	628.898	-4968.413	8209.893	570.133	-5095.610	8214.527	361.125	-5027.249	8313.487	477.114	-5000.262	8269.070	NA	NA	NA
13367	74.67039	1198.189	-4717.393	8124.140	NA	NA	NA	1097.389	-4778.081	8131.660	1074.558	-4829.257	8109.828	1040.731	-4878.546	8120.403	977.156	-4882.971	8116.180	913.777	-4870.047	8114.547	860.747	-4870.646	8118.357	792.012	-4891.605	8127.304	716.430	-4926.049	8135.531	689.066	-4948.595	8170.346	638.137	-4964.751	8203.488	579.475	-5090.899	8208.572	364.321	-5010.521	8318.376	484.915	-4988.965	8266.308	NA	NA	NA
13368	74.67598	1205.467	-4713.945	8115.129	NA	NA	NA	1103.766	-4772.921	8122.803	1080.954	-4823.919	8100.210	1048.793	-4874.910	8109.455	985.755	-4881.059	8106.642	922.240	-4867.717	8106.309	866.958	-4868.906	8107.729	800.279	-4887.421	8119.936	724.833	-4921.843	8127.675	697.535	-4944.801	8162.704	646.749	-4960.826	8196.429	587.948	-5088.651	8200.881	NA	NA	NA	493.373	-4977.929	8263.134	NA	NA	NA
13369	74.68156	1212.884	-4710.575	8106.169	NA	NA	NA	1110.332	-4767.475	8114.052	1087.206	-4818.726	8090.046	1056.915	-4871.098	8098.278	994.415	-4878.972	8096.998	930.692	-4865.237	8097.792	875.485	-4865.708	8099.864	808.563	-4883.541	8112.249	733.401	-4917.763	8119.665	704.940	-4940.836	8154.212	654.656	-4956.377	8188.558	NA	NA	NA	NA	NA	NA	502.058	-4967.379	8259.063	NA	NA	NA
13370	74.68715	1220.094	-4707.269	8096.851	NA	NA	NA	1116.479	-4762.670	8104.688	1093.591	-4813.658	8079.730	1064.929	-4867.314	8086.755	1002.949	-4876.861	8087.033	939.116	-4862.685	8088.927	885.726	-4861.445	8094.077	816.898	-4879.857	8104.223	741.918	-4913.875	8111.299	712.512	-4937.138	8145.652	661.974	-4951.967	8180.076	NA	NA	NA	NA	NA	NA	510.660	-4957.726	8253.884	NA	NA	NA
