Image Name,Point,X,Y,Marker,Calibration Length pixels,Actual Length mm,Pixels/mm,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,1,1802.667,3631.667,,4027.788,751.2,5.361805112,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,2,1821.333,3629,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,3,1848,3625,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,4,1872,3621,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,5,1897.333,3621,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,6,1920,3617,1,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,7,1945.333,3613,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,8,1973.333,3609,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,9,1997.333,3617,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,10,2030.667,3621,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,11,2050.667,3615.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,12,2058.667,3606.333,2,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,13,2074.667,3594.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,14,2085.333,3569,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,15,2088,3543.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,16,2092,3517,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,17,2094.667,3497,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,18,2109.333,3478.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,19,2125.333,3465,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,20,2149.333,3461,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,21,2176,3465,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,22,2192,3470.333,3,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,23,2220,3483.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,24,2240,3494.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,25,2262.667,3503.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,26,2287.333,3509,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,27,2310,3515.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,28,2336.667,3517,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,29,2361.333,3519.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,30,2383.333,3521,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,31,2406,3521,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,32,2426,3522.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,33,2447.333,3519.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,34,2464.667,3519.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,35,2479.333,3519.667,4,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,36,2496,3518.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,37,2514.667,3515.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,38,2534.667,3513,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,39,2553.333,3511.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,40,2578.667,3510.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,41,2606.667,3506.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,42,2633.333,3502.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,43,2662.667,3497,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,44,2684,3493,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,45,2704,3490.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,46,2720,3483.667,5,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,47,2737.333,3477,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,48,2754.667,3466.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,49,2776,3453,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,50,2796,3441,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,51,2813.333,3431.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,52,2832,3421,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,53,2850,3412,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,54,2870,3402.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,55,2890.667,3393,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,56,2912,3386.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,57,2932,3379.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,58,2950,3375,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,59,2967.333,3370.666,6,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,60,2981.333,3366.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,61,3002.667,3365,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,62,3025.333,3365,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,63,3046.667,3366.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,64,3064.667,3367.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,65,3086,3371.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,66,3108.667,3375.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,67,3130,3385,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,68,3152.667,3395.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,69,3172,3402.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,70,3197.333,3418.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,71,3220.667,3431.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,72,3242,3447.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,73,3254.667,3465,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,74,3269.333,3474.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,75,3282,3486.333,7,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,76,3294.667,3497,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,77,3308,3518.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,78,3317.333,3538.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,79,3330.667,3565,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,80,3338.667,3587.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,81,3343.333,3617,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,82,3347.333,3635.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,83,3350.667,3657,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,84,3355.333,3681,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,85,3354.667,3698.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,86,3357.333,3719.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,87,3358.667,3739.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,88,3360,3753,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,89,3361.333,3774.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,90,3365.333,3797,8,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,91,3371.333,3816.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,92,3375.333,3842,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,93,3383.333,3867.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,94,3394,3894,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,95,3406,3918,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,96,3422,3940.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,97,3438,3966,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,98,3458,3992.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,99,3478,4018,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,100,3499.333,4035.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,101,3520.667,4051.333,9,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,102,3550,4063.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,103,3572.667,4074,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,104,3600.667,4086,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,105,3626,4090,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,106,3652.667,4092.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,107,3679.333,4095.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,108,3714,4095.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,109,3735.333,4092.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,110,3760.667,4088.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,111,3782.667,4082,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,112,3807.333,4075.333,10,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,113,3827.333,4064.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,114,3852.667,4052.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,115,3867.333,4040.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,116,3882,4023.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,117,3898,4003.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,118,3912.667,3982,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,119,3924.667,3966,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,120,3935.333,3944.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,121,3942,3924.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,122,3947.333,3900.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,123,3950,3882,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,124,3952.667,3860.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,125,3953.333,3839.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,126,3954.667,3816.667,11,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,127,3954,3798,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,128,3948.667,3774,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,129,3944.667,3746,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,130,3938,3723.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,131,3931.333,3703.333,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,132,3922,3680.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,133,3912.667,3662,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,134,3902,3642,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,135,3891.333,3624.667,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,136,3878,3606,,,,,,,,,,,,,,,,,,,1
05-22-15 13.27 The Cube May2015 734_DxO.jpg,137,3864.667,3591.333,,,,,,,,,,,,,,,,,,,1
