Image Name,Point,X,Y,Marker,Calibration Length pixels,Actual Length mm,Pixels/mm
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,1,3691.333,3893.667,,3960.05,751.2,5.271632055
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,2,3679.333,3905.667,,1043.92,200,5.2196
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,3,3666.667,3915.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,4,3654,3927,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,5,3640.667,3937.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,6,3624.667,3949.667,1,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,7,3606.667,3962.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,8,3588.667,3975,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,9,3572,3985,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,10,3556,3997,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,11,3542,4008.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,12,3526,4025.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,13,3514,4043,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,14,3505.667,4061.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,15,3496.667,4080.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,16,3490.667,4099.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,17,3485.333,4117,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,18,3480,4138.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,19,3476.667,4155,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,20,3473,4173.667,2,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,21,3469,4197.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,22,3465,4217.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,23,3461,4239,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,24,3457,4261.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,25,3455.667,4281.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,26,3450.333,4304.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,27,3445,4331,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,28,3438.667,4353,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,29,3433.333,4374.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,30,3425.333,4393,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,31,3417.333,4414.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,32,3409.333,4434.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,33,3400,4451.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,34,3392,4467.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,35,3381.333,4485,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,36,3368,4499.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,37,3357.333,4511.667,3,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,38,3342.667,4525.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,39,3328,4541.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,40,3316,4550,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,41,3301.333,4560.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,42,3286.667,4570,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,43,3266.667,4576.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,44,3248,4584.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,45,3225.333,4590,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,46,3200,4592.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,47,3177.333,4591.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,48,3148.667,4589.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,49,3122.667,4584.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,50,3104,4577.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,51,3084,4567.333,4,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,52,3062.667,4551.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,53,3045.333,4536.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,54,3028,4519.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,55,3014.667,4508.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,56,3004,4491.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,57,2992,4476.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,58,2980,4459.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,59,2969.333,4442,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,60,2958.667,4422,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,61,2950.667,4406,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,62,2938.667,4386,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,63,2926.667,4364.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,64,2914.667,4348.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,65,2908.667,4334.667,5,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,66,2894.667,4316.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,67,2878.667,4296.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,68,2866.667,4278,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,69,2852,4262,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,70,2834.667,4246,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,71,2816,4230,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,72,2796,4216.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,73,2778.667,4206,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,74,2761.333,4195.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,75,2738.667,4186,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,76,2717.333,4179.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,77,2693.333,4171.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,78,2673.333,4170,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,79,2654.667,4168.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,80,2636,4168.667,6,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,81,2617.333,4167.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,82,2597.333,4167.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,83,2576,4172.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,84,2558.667,4176.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,85,2540,4182.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,86,2525.333,4191.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,87,2512,4200.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,88,2498.667,4211.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,89,2486.667,4222,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,90,2470.667,4238,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,91,2458.667,4252.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,92,2445.333,4270,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,93,2437.333,4294,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,94,2428,4313.333,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,95,2424,4334,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,96,2424,4358,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,97,2424,4384.667,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,98,2425.333,4406,7,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,99,2428,4434,,,,
05-28-15 17.56 The Cube May2015 1781_DxO.jpg,100,2436,4455.333,,,,
