,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
6,1.0,head,0.0269074742537,21.3932454138,0.0726248974568,57.7416609153,0.186043212989,795.067021605,238.556162922,1033.62318453
20,2.0,body,0.0995323717105,79.1349063291,0.0860009775747,68.3765410954,0.186043212989,795.067021605,238.556162922,1033.62318453
37,3.0,body,0.185533349285,147.511447425,0.108332133762,86.1313069341,0.186043212989,795.067021605,238.556162922,1033.62318453
58,4.0,body,0.293865483047,233.642754359,0.08911254934,70.8504491914,0.186043212989,795.067021605,238.556162922,1033.62318453
75,5.0,body,0.382978032387,304.49320355,0.0894924714878,71.1525127619,0.186043212989,795.067021605,238.556162922,1033.62318453
92,6.0,body,0.472470503875,375.645716312,0.105882581799,84.1837489505,0.186043212989,795.067021605,238.556162922,1033.62318453
114,7.0,body,0.578353085673,459.829465262,0.10681316362,84.9236238676,0.186043212989,795.067021605,238.556162922,1033.62318453
131,8.0,body,0.685166249293,544.75308913,0.108072465038,85.9248528956,0.186043212989,795.067021605,238.556162922,1033.62318453
152,9.0,body,0.793238714332,630.677942026,0.0963957253568,76.6410622549,0.186043212989,795.067021605,238.556162922,1033.62318453
171,10.0,body,0.889634439689,707.319004281,0.110365560311,87.7480173246,0.186043212989,795.067021605,238.556162922,1033.62318453
191,11.0,vent,1.0,795.067021605,0.124119547919,98.6833592871,0.186043212989,795.067021605,238.556162922,1033.62318453
214,12.0,tail,1.12411954792,893.750380892,0.155598654164,123.711358532,0.186043212989,795.067021605,238.556162922,1033.62318453
246,13.0,tail,1.27971820208,1017.46173942,,,0.186043212989,795.067021605,238.556162922,1033.62318453
