,arc length (SVL or VTL),body width (SVL),tail width (VTL)
0,0.0,0.00990136314157,0.0244073871475
1,0.01,0.0125600163929,0.0232758531731
2,0.02,0.0144595603781,0.0226053279551
3,0.03,0.0117691687247,0.0225641903126
4,0.04,0.0129022801593,0.0225018921484
5,0.05,0.0147827684936,0.0222647024683
6,0.06,0.015913516665,0.0222174268585
7,0.07,0.0166364754172,0.0221563421127
8,0.08,0.0168020256668,0.0220640553523
9,0.09,0.017171415835,0.0221861527875
10,0.1,0.0174604119223,0.02176440633
11,0.11,0.0180926504529,0.0218774222751
12,0.12,0.0184157076455,0.0219037487953
13,0.13,0.0188813678406,0.0216294576742
14,0.14,0.0191227205976,0.0208695726722
15,0.15,0.01927441034,0.0210168562515
16,0.16,0.0194635743379,0.0213150618541
17,0.17,0.0196674513531,0.0208839285747
18,0.18,0.0197272826642,0.0207648588067
19,0.19,0.020105869225,0.0200429525114
20,0.2,0.0201082542693,0.0201356737218
21,0.21,0.0201709211542,0.0202717864422
22,0.22,0.0205220691024,0.0195785869297
23,0.23,0.0205486298655,0.0188629157984
24,0.24,0.0207625412375,0.0189556584006
25,0.25,0.0215344200245,0.0183359059287
26,0.26,0.0220605476306,0.018516136549
27,0.27,0.0222419972854,0.0178578699207
28,0.28,0.0226405539947,0.0176676075244
29,0.29,0.0229650268565,0.017314411668
30,0.3,0.0233136580966,0.0173330365312
31,0.31,0.0237356427249,0.0170952786484
32,0.32,0.024033819157,0.0169331994878
33,0.33,0.0239888239188,0.0172380541431
34,0.34,0.024194630932,0.0164911441377
35,0.35,0.0242715865169,0.0161843337933
36,0.36,0.0242972188318,0.0159327947934
37,0.37,0.0243426745428,0.0155961932777
38,0.38,0.024650792158,0.0155320185301
39,0.39,0.0250211195736,0.0157181123005
40,0.4,0.0256344491526,0.015854005844
41,0.41,0.0256429886919,0.0151037251561
42,0.42,0.0257513671217,0.0147369581746
43,0.43,0.0254866500943,0.0148684318897
44,0.44,0.025615419684,0.0150751262561
45,0.45,0.0257338994922,0.0144204600732
46,0.46,0.0256003185041,0.0141273053088
47,0.47,0.0258034348041,0.0137425654259
48,0.48,0.0256016586687,0.0133717709324
49,0.49,0.0254462824002,0.0135743164045
50,0.5,0.025132141704,0.0127266586265
51,0.51,0.0252055843723,0.0125834629669
52,0.52,0.0256372765431,0.0127371134035
53,0.53,0.0255787204517,0.0125166592562
54,0.54,0.0257346753664,0.0117562884207
55,0.55,0.0258556180011,0.0120885857145
56,0.56,0.0260938783476,0.012099388766
57,0.57,0.026377099523,0.0115745244859
58,0.58,0.0263296001922,0.0119096160053
59,0.59,0.026149307307,0.0115721153496
60,0.6,0.0261597658737,0.0114206873606
61,0.61,0.0253235903006,0.0117470246943
62,0.62,0.0250689096787,0.0113711662201
63,0.63,0.0247126818741,0.0111828787279
64,0.64,0.0244970292912,0.0104720719215
65,0.65,0.024119395277,0.0105552930888
66,0.66,0.023763214849,0.010268535128
67,0.67,0.023466154154,0.0101142537606
68,0.68,0.0230855598074,0.0102439419302
69,0.69,0.0228304643932,0.0101488138774
70,0.7,0.0228740483678,0.00960115543582
71,0.71,0.0227365674853,0.00944514852156
72,0.72,0.0221490288948,0.00921400142588
73,0.73,0.0217950116335,0.00909215274014
74,0.74,0.021875107319,0.00920426594872
75,0.75,0.0218505152758,0.00951142735486
76,0.76,0.0219100698398,0.00893546212215
77,0.77,0.02176345681,0.0082571729264
78,0.78,0.0214764477019,0.0087027666371
79,0.79,0.0214413271588,0.00960454737867
80,0.8,0.0213205837262,0.00958969649055
81,0.81,0.0209832999209,0.0092705926039
82,0.82,0.0207468433345,0.00866641560592
83,0.83,0.0206123958419,0.00819349682799
84,0.84,0.0200682125113,0.00766174384147
85,0.85,0.0199571476322,0.00793986843028
86,0.86,0.0194956488936,0.00768241938352
87,0.87,0.0192772934915,0.00757692068854
88,0.88,0.0187918222283,0.0074488359545
89,0.89,0.0187324921014,0.00787678786122
90,0.9,0.0185504321338,0.00798626824759
91,0.91,0.0187138842596,0.0076846913778
92,0.92,0.0184091084374,0.00664416207057
93,0.93,0.0183947648541,0.0060536213183
94,0.94,0.0180100844064,0.00559296468208
95,0.95,0.0175343256654,0.00579887132358
96,0.96,0.0167863710261,0.00595807363513
97,0.97,0.0158369510552,0.00550512427176
98,0.98,0.0145331649088,0.00568636571154
99,0.99,0.0128494471147,0.00543591696577
100,1.0,0.00781899459169,0.00521197647994
