,arc length (SVL),length (SVL)
0,0.0,0.0112088855584
1,0.01,0.0142186267029
2,0.02,0.0163690145675
3,0.03,0.0133233438129
4,0.04,0.0146060880386
5,0.05,0.0167349038624
6,0.06,0.0180149727445
7,0.07,0.018833401662
8,0.08,0.0190208136147
9,0.09,0.0194389835235
10,0.1,0.019766142928
11,0.11,0.0204818715842
12,0.12,0.020847590026
13,0.13,0.0213747428798
14,0.14,0.0216479674241
15,0.15,0.0218196885234
16,0.16,0.022033832533
17,0.17,0.0222646324844
18,0.18,0.0223323648066
19,0.19,0.0227609455356
20,0.2,0.0227636455364
21,0.21,0.0228345878836
22,0.22,0.0232321065999
23,0.23,0.023262174839
24,0.24,0.023504334232
25,0.25,0.0243781433091
26,0.26,0.0249737485849
27,0.27,0.0251791595355
28,0.28,0.0256303475669
29,0.29,0.0259976686238
30,0.3,0.0263923382886
31,0.31,0.0268700480078
32,0.32,0.0272076000656
33,0.33,0.0271566629908
34,0.34,0.0273896478056
35,0.35,0.0274767657441
36,0.36,0.0275057829289
37,0.37,0.0275572412842
38,0.38,0.027906047306
39,0.39,0.0283252782301
40,0.4,0.029019600917
41,0.41,0.0290292681434
42,0.42,0.0291519584639
43,0.43,0.0288522842853
44,0.44,0.0289980585159
45,0.45,0.0291321841502
46,0.46,0.0289809631529
47,0.47,0.029210901933
48,0.48,0.0289824802928
49,0.49,0.028806585844
50,0.5,0.0284509613644
51,0.51,0.0285341024888
52,0.52,0.029022801678
53,0.53,0.0289565129743
54,0.54,0.0291330624823
55,0.55,0.029269976171
56,0.56,0.0295396999373
57,0.57,0.0298603218252
58,0.58,0.0298065499802
59,0.59,0.0296024485562
60,0.6,0.0296142882267
61,0.61,0.028667691665
62,0.62,0.0283793792475
63,0.63,0.0279761098554
64,0.64,0.0277319793162
65,0.65,0.0273044769221
66,0.66,0.026901261163
67,0.67,0.0265649721807
68,0.68,0.0261341185282
69,0.69,0.0258453365429
70,0.7,0.0258946759901
71,0.71,0.0257390400987
72,0.72,0.0250739142238
73,0.73,0.0246731472879
74,0.74,0.0247638199922
75,0.75,0.0247359804519
76,0.76,0.0248033994813
77,0.77,0.0246374254988
78,0.78,0.0243125154637
79,0.79,0.0242727570847
80,0.8,0.0241360689036
81,0.81,0.0237542451567
82,0.82,0.0234865633458
83,0.83,0.0233343614179
84,0.84,0.0227183160727
85,0.85,0.0225925845443
86,0.86,0.0220701426874
87,0.87,0.0218229524088
88,0.88,0.0212733723406
89,0.89,0.0212062073863
90,0.9,0.0210001055282
91,0.91,0.0211851422899
92,0.92,0.0208401193609
93,0.93,0.0208238816388
94,0.94,0.0203884022958
95,0.95,0.0198498173348
96,0.96,0.0190030917038
97,0.97,0.0179282962793
98,0.98,0.0164523389289
99,0.99,0.0145462781374
100,1.0,0.00885153026977
101,1.01,0.00894269339647
102,1.02,0.0088083224212
103,1.03,0.00876984602858
104,1.04,0.00867272468676
105,1.05,0.00828559819618
106,1.06,0.00826787329688
107,1.07,0.00797814005064
108,1.08,0.00751435790152
109,1.09,0.00731604527283
110,1.1,0.00692027748345
111,1.11,0.00674595484639
112,1.12,0.00649937492991
113,1.13,0.00617587838301
114,1.14,0.00628166113212
115,1.15,0.0058837160596
116,1.16,0.00563069599433
117,1.17,0.00534401057507
118,1.18,0.00501190043508
119,1.19,0.00469568478537
120,1.2,0.00460501565258
121,1.21,0.00452509533558
122,1.22,0.00444152858294
123,1.23,0.00410105309962
124,1.24,0.00403730819724
125,1.25,0.00370309828811
126,1.26,0.00368167902414
127,1.27,0.00329687207785
128,1.28,0.00379962164176
129,1.29,0.00327318906026
130,1.3,0.0030730665206
131,1.31,0.00304826464526
132,1.32,0.00286813165793
133,1.33,0.00223934961779
134,1.34,0.00219149456483
135,1.35,0.00206508502632
