,,,Head,,,Quarter,,,Mid,,,Three quarter,,,Vent,
N,T,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,0.1666666667,0.1756293802,0.010606162,-0.0459619897,0.0681522383,-0.0346278514,-0.0151131375,-0.0165920194,-0.0802020495,0.0052256334,-0.0515370128,0.0900365089,0.0074107877,-0.1756757926,0.038980622,0.0509154227
12,0.1833333333,0.2948778801,0.0110490367,-0.1405655753,0.1808279841,-0.0240948474,-0.1052476287,0.1082582651,-0.0907729493,-0.0935443146,0.0662970644,0.0779146005,-0.0882220477,-0.0564751904,0.0628573556,-0.0501787531
13,0.2,0.4121837811,0.0112047886,-0.233933068,0.2917359525,-0.013537687,-0.1943554243,0.2310820891,-0.1007561712,-0.1910301873,0.1819413564,0.0658451163,-0.1823983606,0.062032212,0.0856926952,-0.1497415834
14,0.2166666667,0.5275155102,0.0107469458,-0.3261912654,0.401197034,-0.0029661228,-0.2828295574,0.3516037102,-0.1094065457,-0.2872592811,0.2952152868,0.05375804,-0.275095309,0.1809045273,0.1064823112,-0.247550068
15,0.2333333333,0.6411259388,0.0095113487,-0.4175890809,0.5097592,0.0075995273,-0.3711418248,0.4698006502,-0.1160817664,-0.3823394031,0.4062987065,0.0415973316,-0.3664894056,0.3010867143,0.1242584663,-0.3435467376
16,0.25,0.7534840892,0.0074582355,-0.508416339,0.618096675,0.018081347,-0.4597470737,0.5858223861,-0.1202879137,-0.4763852755,0.5156936877,0.0293544208,-0.4568862322,0.4232167681,0.1382460563,-0.4377924014
17,0.2666666667,0.8652091621,0.0046710374,-0.5989570041,0.7269587899,0.0283340365,-0.5490303658,0.699987857,-0.1217121209,-0.569506598,0.6241324105,0.0170645725,-0.5466633418,0.5475365987,0.1479559864,-0.5304412298
18,0.2833333333,0.9769814037,0.0013352743,-0.6894562117,0.8371211279,0.0381511971,-0.6392758664,0.8127854327,-0.1202319064,-0.6618268415,0.7324605838,0.004789838,-0.6362146148,0.673894794,0.1532464685,-0.6217130839
19,0.3,1.089448211,-0.0022952543,-0.7800991995,0.9493321836,0.0472859564,-0.7306517296,0.9248408084,-0.1159003517,-0.7535011699,0.8415309508,-0.0074019774,-0.725902476,0.8018235267,0.1543279997,-0.7118650538
20,0.3166666667,1.2031636354,-0.0059421168,-0.8710090265,1.0642641026,0.055480327,-0.8232141784,1.0368486877,-0.1089132235,-0.8447135411,0.9521423968,-0.019450517,-0.8160300814,0.9306798282,0.1517089438,-0.8011797139
21,0.3333333333,1.3185552144,-0.0093525318,-0.9622491984,1.182448087,0.0624962253,-0.9169162715,1.1494787591,-0.099566972,-0.9356441796,1.0650064313,-0.0312992321,-0.9068240507,1.0598023287,0.1460924892,-0.8899657228
