,,,head,,,quarter,,,mid,,,three quarters,,,vent,
N,T,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,0.35,0.2347838967,0.0017888786,-0.1052221461,0.0560521119,-0.0487471591,0.0128275214,0.0019873499,0.0125445109,-0.0063290748,-0.1214361241,0.0797890825,0.0195089988,-0.107990572,-0.0889617472,0.0532072553
23,0.3666666667,0.3427933133,0.0056772651,-0.1964644052,0.1776863336,-0.0464286395,-0.0967869165,0.1096389753,-0.0041200741,-0.0979387422,-0.0041699345,0.0830920281,-0.0808778385,-0.0139224917,-0.0707638941,-0.0405605793
24,0.3833333333,0.4498610475,0.0095566363,-0.286503597,0.2970398324,-0.0437557209,-0.2037074508,0.2165331316,-0.0207450861,-0.188297068,0.111938514,0.0856559255,-0.1798755921,0.0799338737,-0.0518668733,-0.1336161035
25,0.4,0.5568505,0.0130566201,-0.3754957564,0.4137691228,-0.0403352254,-0.306880728,0.3237265704,-0.0372244127,-0.2775204866,0.2276006333,0.0868395135,-0.2773938253,0.1752999167,-0.0316163707,-0.2265429721
26,0.4166666667,0.6647120685,0.016180352,-0.4637654588,0.5281214117,-0.0357780947,-0.405883832,0.4323086967,-0.053423186,-0.3659009559,0.3434048453,0.0860079958,-0.3734804339,0.2740067953,-0.0097937822,-0.3199610057
27,0.4333333333,0.7743325348,0.0189252077,-0.5517154864,0.6407681389,-0.0298285119,-0.5008888085,0.5432842035,-0.0691537532,-0.4538381039,0.4598454913,0.0827931825,-0.4682512704,0.3776242243,0.0134529576,-0.4143868127
28,0.45,0.8864009043,0.021246697,-0.6397261232,0.7526271054,-0.0223894993,-0.5925132911,0.6574511025,-0.0841546186,-0.5417641544,0.5773018161,0.0771204856,-0.5618347491,0.4872875048,0.0376005677,-0.5101276
29,0.4666666667,1.0013115499,0.0230482392,-0.7280660956,0.8646620908,-0.0135161216,-0.681616021,0.775287885,-0.0980858787,-0.6300587024,0.6960330467,0.0691762061,-0.6543311031,0.6036133003,0.0618033493,-0.6072191812
30,0.4833333333,1.1191191156,0.024205302,-0.8168395667,0.9777130459,-0.0033787477,-0.7690974792,0.8968728062,-0.1105465514,-0.7189705949,0.8161587251,0.059330595,-0.7457889762,0.7266871616,0.0849841062,-0.7054136083
