Trial:     739,,Trajectory,,Snake ID: 39,,Mass: 41 g,,SVL: 71 cm,,Tail: 23 cm
,,,Head,,,Midpoint,,,Vent,
ID,Time (s),X (m),Y (m),Z (m),X (m),Y (m),Z (m),X (m),Y (m),Z (m)
1,0,0.37,1.23,9.79,0.16,1.09,9.67,0.05,0.87,9.59
3,0.033,0.40,1.30,9.73,0.20,1.13,9.66,0.02,0.89,9.62
5,0.067,0.43,1.37,9.68,0.23,1.18,9.63,—,—,—
7,0.100,0.45,1.43,9.62,0.26,1.23,9.58,0.08,0.95,9.62
9,0.133,0.46,1.48,9.57,0.29,1.28,9.54,0.11,1.01,9.59
11,0.167,0.48,1.54,9.49,0.31,1.34,9.47,0.12,1.07,9.55
13,0.200,0.50,1.59,9.41,0.34,1.41,9.40,0.14,1.13,9.50
15,0.234,0.52,1.65,9.31,0.36,1.47,9.33,0.16,1.20,9.45
17,0.267,0.53,1.71,9.21,0.39,1.54,9.24,0.19,1.27,9.39
19,0.300,0.55,1.78,9.10,0.41,1.60,9.15,0.21,1.34,9.31
21,0.334,0.55,1.85,8.99,0.44,1.67,9.04,0.24,1.42,9.22
23,0.367,0.55,1.92,8.88,0.46,1.73,8.94,0.27,1.50,9.12
25,0.400,0.55,1.99,8.77,0.49,1.80,8.84,0.31,1.58,9.02
27,0.434,0.56,2.06,8.64,0.53,1.87,8.73,0.36,1.67,8.89
29,0.467,0.58,2.14,8.50,0.57,1.94,8.61,0.41,1.77,8.74
31,0.501,0.60,2.23,8.36,0.61,2.01,8.47,0.45,1.89,8.58
33,0.534,0.63,2.32,8.20,0.65,2.08,8.32,0.49,2.00,8.41
35,0.567,0.66,2.41,8.06,0.69,2.17,8.16,0.53,2.14,8.23
37,0.601,0.70,2.50,7.90,0.74,2.26,7.99,0.56,2.27,8.05
39,0.634,0.73,2.59,7.74,0.79,2.37,7.82,0.58,2.41,7.89
41,0.667,0.78,2.69,7.58,0.85,2.49,7.65,0.59,2.53,7.75
43,0.701,0.82,2.80,7.42,0.90,2.64,7.43,0.62,2.64,7.60
45,0.734,0.87,2.94,7.22,0.95,2.78,7.23,0.67,2.77,7.43
47,0.767,0.93,3.07,7.04,0.99,2.91,7.05,0.74,2.90,7.22
49,0.801,0.99,3.19,6.86,1.02,3.05,6.87,0.79,3.00,7.03
51,0.834,1.05,3.33,6.69,—,—,—,0.86,3.13,6.81
53,0.868,—,—,—,—,—,—,0.92,3.25,6.62
55,0.901,—,—,—,—,—,—,0.99,3.38,6.43
57,0.934,1.26,3.75,6.14,—,—,—,—,—,—
59,0.968,1.34,3.91,5.93,1.24,3.82,5.93,—,—,—
61,1.001,1.42,4.07,5.72,1.29,4.00,5.74,1.25,3.76,5.84
63,1.034,1.50,4.24,5.49,1.34,4.18,5.52,1.35,3.88,5.65
65,1.068,1.58,4.42,5.28,1.39,4.34,5.35,1.46,4.02,5.48
67,1.101,1.66,4.59,5.08,1.45,4.50,5.17,1.59,4.22,5.20
69,1.134,1.73,4.76,4.90,1.52,4.66,5.00,1.70,4.43,4.96
71,1.168,1.81,4.93,4.71,1.60,4.83,4.84,1.81,4.65,4.72
73,1.201,1.90,5.11,4.53,1.70,4.98,4.67,1.90,4.85,4.50
75,1.235,1.98,5.28,4.36,1.81,5.15,4.49,1.99,5.04,4.31
77,1.268,2.06,5.45,4.22,1.92,5.31,4.31,2.08,5.24,4.14
79,1.301,2.16,5.63,4.04,2.04,5.45,4.15,2.17,5.43,3.96
81,1.335,2.25,5.79,3.91,2.17,5.61,3.98,2.27,5.64,3.78
83,1.368,2.36,5.99,3.74,2.30,5.78,3.79,2.37,5.84,3.57
85,1.401,2.48,6.17,3.57,2.43,5.94,3.61,2.47,6.07,3.36
87,1.435,2.61,6.38,3.36,2.57,6.12,3.42,2.56,6.29,3.17
89,1.468,2.72,6.51,3.25,2.72,6.31,3.23,2.64,6.49,3.00
91,1.502,2.87,6.72,3.05,2.87,6.51,3.03,2.71,6.68,2.88
93,1.535,3.02,6.92,2.86,3.02,6.73,2.82,2.81,6.87,2.76
95,1.568,3.17,7.10,2.68,3.18,6.99,2.55,2.91,7.05,2.63
97,1.602,3.33,7.34,2.44,3.31,7.19,2.39,3.06,7.25,2.44
