Snake,Trial ID,Height (m),Mass (g),SVL (mm),VTL (mm),Total (mm),Frame jump,Gold
30,918,8.37,132.3,789,247,1036,10704,0
31,913,8.35,164.3,750,346,1096,13664,0
32,914,8.35,52.5,662,256,918,17839,0
32,921,8.37,52.5,662,256,918,8077,0
32,922,8.35,52.5,662,256,918,16954,0
33,916,8.34,272.5,918,312,1230,19125,0
33,920,8.37,272.5,918,312,1230,27996,0
35,912,8.35,141.0,828,269,1097,23834,0
35,919,8.37,141.0,828,269,1097,25913,0
81,205,8.4,107.2,850,295,1145,1770,1
81,206,8.39,107.2,850,295,1145,3910,1
81,303,8.4,107.2,850,295,1145,2872,1
81,304,8.4,107.2,850,295,1145,4173,0
81,309,8.44,107.2,850,295,1145,4213,1
81,314,8.45,107.2,850,295,1145,5957,0
81,403,8.42,107.2,850,295,1145,2890,0
81,501,8.44,107.2,850,295,1145,10831,0
81,507,8.37,107.2,850,295,1145,21319,1
81,615,8.37,107.2,850,295,1145,1473,0
81,706,8.36,107.2,850,295,1145,6271,1
81,715,8.39,107.2,850,295,1145,6545,0
81,801,8.38,107.2,850,295,1145,3278,1
81,806,8.4,107.2,850,295,1145,29997,0
86,406,8.44,54.5,810,266,1076,5854,0
86,412,8.43,54.5,810,266,1076,9997,1
86,803,8.39,54.5,810,266,1076,45656,1
88,505,8.42,71.9,888,308,1196,1348,1
88,506,8.3,71.9,888,308,1196,2585,1
90,604,8.35,39.7,672,217,889,1419,0
90,614,8.36,39.7,672,217,889,2602,0
90,623,8.36,39.7,672,217,889,5458,0
90,629,8.36,39.7,672,217,889,2254,0
91,308,8.44,71.0,766,296,1062,3889,1
91,310,8.41,71.0,766,296,1062,3213,0
91,315,8.45,71.0,766,296,1062,3959,1
91,407,8.44,71.0,766,296,1062,0,1
91,413,8.43,71.0,766,296,1062,3166,1
91,703,8.38,71.0,766,296,1062,5860,0
91,719,8.39,71.0,766,296,1062,5181,0
94,402,8.42,49.9,731,267,998,4365,0
95,605,8.35,37.3,644,250,894,6955,1
95,608,8.35,37.3,644,250,894,1609,0
95,618,8.36,37.3,644,250,894,1514,1
95,625,8.38,37.3,644,250,894,3604,0
95,712,8.4,37.3,644,250,894,3770,1
95,717,8.41,37.3,644,250,894,5502,1
95,720,8.39,37.3,644,250,894,5418,0
95,730,8.37,37.3,644,250,894,9565,0
95,807,8.4,37.3,644,250,894,2155,1
95,808,8.4,37.3,644,250,894,3461,1
95,810,8.34,37.3,644,250,894,10993,1
95,905,8.38,37.3,644,250,894,11211,0
