,arc length (SVL),body width (SVL),tail width (VTL)
0,0.0,0.00677893305453,0.0262637659379
1,0.01,0.0122923162314,0.0251218572257
2,0.02,0.0128769278984,0.0252450388399
3,0.03,0.011096570486,0.0253780070682
4,0.04,0.0134021322745,0.0250563808892
5,0.05,0.0147405124023,0.0254871689294
6,0.06,0.0145537882364,0.0261934136559
7,0.07,0.0149154972752,0.0262300530114
8,0.08,0.0159639986683,0.026533191547
9,0.09,0.0166796260558,0.0271315789818
10,0.1,0.0169390636275,0.0269617925105
11,0.11,0.0170522145301,0.0271468269785
12,0.12,0.0178325335263,0.0277376283136
13,0.13,0.0171379711025,0.0262377055205
14,0.14,0.017594515825,0.0250886873319
15,0.15,0.0175962676822,0.0248228673203
16,0.16,0.0175948800366,0.0249986756114
17,0.17,0.0174757789892,0.0253414104986
18,0.18,0.0177457377289,0.0255237926269
19,0.19,0.0181470829234,0.0261512867661
20,0.2,0.0178215190213,0.0263877601187
21,0.21,0.0182464273237,0.0258514321286
22,0.22,0.0183679302694,0.0249166588201
23,0.23,0.0185271008425,0.0228793847232
24,0.24,0.0191085532247,0.0228301744734
25,0.25,0.020115787593,0.0216606017316
26,0.26,0.0211614695933,0.0212729525821
27,0.27,0.0211738295343,0.0212690800631
28,0.28,0.0214030213478,0.0215128969463
29,0.29,0.02244777982,0.0212510059821
30,0.3,0.0232912124878,0.0212028423251
31,0.31,0.0238205582261,0.0212093467957
32,0.32,0.0239167516548,0.020732124744
33,0.33,0.0243499039645,0.0200843713222
34,0.34,0.0239780159704,0.0200232587098
35,0.35,0.023594720124,0.0191974622851
36,0.36,0.0242756559329,0.0197882134215
37,0.37,0.0249895988328,0.0195775254604
38,0.38,0.0255915451032,0.0199952733539
39,0.39,0.0260233817411,0.0200178249853
40,0.4,0.026360985364,0.019273430477
41,0.41,0.0265203851443,0.0191077750658
42,0.42,0.0258054841754,0.0182665482051
43,0.43,0.025056464157,0.0184978780549
44,0.44,0.0238595472417,0.018783790236
45,0.45,0.0248309039895,0.0188794362915
46,0.46,0.0251751449146,0.0187965026559
47,0.47,0.0255686744679,0.0181329042702
48,0.48,0.0254526693606,0.0179040351091
49,0.49,0.0249780194482,0.0171244174062
50,0.5,0.0248115816273,0.0162589004175
51,0.51,0.0247333217329,0.0162044012216
52,0.52,0.0251608740042,0.0159833455101
53,0.53,0.0259230530326,0.0154715230155
54,0.54,0.0257992285923,0.0153859438747
55,0.55,0.025950807427,0.0153565643554
56,0.56,0.0261463722693,0.0153734982065
57,0.57,0.0259864948742,0.0154100987843
58,0.58,0.0260337693711,0.0145091888394
59,0.59,0.0256606553945,0.0138715685821
60,0.6,0.0258188663404,0.0143095807313
61,0.61,0.0254496056755,0.0143213787611
62,0.62,0.0249809944505,0.0138173515362
63,0.63,0.0245739780591,0.0137353287198
64,0.64,0.0240307309597,0.0134936687215
65,0.65,0.0240335300594,0.0121885020979
66,0.66,0.0240103082265,0.0120184126298
67,0.67,0.023675083856,0.0120184126298
68,0.68,0.0233214637413,0.0120613884809
69,0.69,0.0222307811586,0.013384478477
70,0.7,0.0236392801812,0.012243982495
71,0.71,0.0235283842959,0.0120184126298
72,0.72,0.0232068455935,0.0120184126298
73,0.73,0.023056575208,0.0107547878738
74,0.74,0.0229823851396,0.0103824891908
75,0.75,0.0228515593104,0.0103014965398
76,0.76,0.0230485043412,0.0100724135661
77,0.77,0.0228270710751,0.00926966527362
78,0.78,0.0219773752179,0.0110337196372
79,0.79,0.0218659270193,0.0127020354905
80,0.8,0.0211301001783,0.014533754835
81,0.81,0.0213880762892,0.0131686404621
82,0.82,0.0213336400834,0.0123569713374
83,0.83,0.0214702013991,0.0117015318033
84,0.84,0.02151401011,0.0120184126298
85,0.85,0.0211240455036,0.0120184126298
86,0.86,0.0213057549822,0.011932536695
87,0.87,0.0210686691718,0.0120184126298
88,0.88,0.0209944152231,0.0120184126298
89,0.89,0.0206544448524,0.0122444001732
90,0.9,0.0202923369242,0.0129933723719
91,0.91,0.0204792860517,0.0117760353502
92,0.92,0.0206107319975,0.00929259785745
93,0.93,0.0201877491786,0.00850690493715
94,0.94,0.0197241574198,0.00707902638928
95,0.95,0.0191535086242,0.00761861493716
96,0.96,0.0184677218679,0.00858458044987
97,0.97,0.0176162877512,0.00958828022843
98,0.98,0.0169390636275,0.0105215123923
99,0.99,0.0144486408394,0.0104435928598
100,1.0,0.00809743274798,0.00707902638928
