File name,rotation angle (deg),Snake,Mass (g),SVL (cm),Tail (cm),WS (N/m^2),Total length (cm),pix2cm,neck (x),neck (y),vent (x),vent (y),tail (x),tail (y)
s650_13_33_silhouette.tif,90,28,26.1,61.5,22,23.2,83.5,,,,,,,
s762_33_36_silhouette.tif,62,30,76.3,86.5,28.6,36.8,115.1,,,,,,,
s763_34_03_silhouette.tif,80,44,16.3,54.2,19.2,22.6,73.4,,,,,,,
s763_34_04_silhouette.tif,80,44,16.3,54.2,19.2,22.6,73.4,,,,,,,
s763_34_05_silhouette.tif,65,44,16.3,54.2,19.2,22.6,73.4,,,,,,,
s764_34_08_silhouette.tif,135,40,27.4,63.5,24.4,28.5,87.9,,,,,,,
s772_35_13_silhouette.tif,125,30,76.3,86.5,28.6,36.8,115.1,,,,,,,
s776_35_26_silhouette.tif,90,35,27.4,62.8,21.4,27.2,84.2,,,,,,,
s776_35_27_silhouette.tif,90,35,27.4,62.8,21.4,27.2,84.2,,,,,,,
s782_39_17_silhouette.tif,110,33,35.9,68.5,25.3,31.1,93.8,,,,,,,
s782_silhouette_S00_39_18.tif,90,33,35.9,68.5,25.3,31.1,93.8,,,,,,,
s838_52_26_silhouette.tif,135,33,35.9,68.5,25.3,31.1,93.8,,,,,,,
s838_52_27_silhouette.tif,135,33,35.9,68.5,25.3,31.1,93.8,,,,,,,
s844_39_12_silhouette.tif,105,44,16.3,54.2,19.2,22.6,73.4,,,,,,,
s845_53_24_silhouette.tif,75,40,27.4,63.5,24.4,28.5,87.9,,,,,,,
s845_53_25_silhouette.tif,80,40,27.4,63.5,24.4,28.5,87.9,,,,,,,
s845_53_26_silhouette.tif,74,40,27.4,63.5,24.4,28.5,87.9,,,,,,,
s847_53_34_silhouette.tif,90,28,26.1,61.5,22,23.2,83.5,,,,,,,
s847_53_35_silhouette.tif,100,28,26.1,61.5,22,23.2,83.5,,,,,,,
s847_53_36_silhouette.tif,110,28,26.1,61.5,22,23.2,83.5,,,,,,,
s847_silhouette_S00_53_37.tif,100,28,26.1,61.5,22,23.2,83.5,,,,,,,
s848_54_04_silhouette.tif,110,44,16.3,54.2,19.2,22.6,73.4,,,,,,,
s850_54_14_silhouette.tif,120,31,10.5,47,15.7,18.2,62.7,,,,,,,
s852_54_26_silhouette.tif,80,50,40.5,75,25.5,27.9,100.5,,,,,,,
s852_54_27_silhouette_2.tif,80,50,40.5,75,25.5,27.9,100.5,,,,,,,
ss568_06_14_silhouette.tif,45,32,37.5,69.3,22.1,28.6,91.4,,,,,,,
ss761_silhouette.tif,90,44,16.3,54.2,19.2,22.6,73.4,,,,,,,
