,arc length (SVL or VTL),rho_trunk ((m/mT)/(s/SVL)),rho_tail ((m/mT)/(s/VTL))
0,0.0,0.795886582062,0.489483389094
1,0.01,1.25075638839,0.400594852553
2,0.02,1.25775028943,0.311706316013
3,0.03,0.84550229362,0.222817779472
4,0.04,0.64880852648,0.149976881445
5,0.05,0.604639405413,0.121883123644
6,0.06,0.603834522316,0.113371901108
7,0.07,0.599602086717,0.104860678573
8,0.08,0.599792084722,0.100894725363
9,0.09,0.672375442667,0.0981847018353
10,0.1,0.67835261639,0.0960431964501
11,0.11,0.677751019735,0.0946235501154
12,0.12,0.667402593547,0.0953845745872
13,0.13,0.667139710632,0.096145599059
14,0.14,0.626698142661,0.0970355840088
15,0.15,0.679019414162,0.096913903419
16,0.16,0.740103910885,0.0957168625325
17,0.17,0.772004211984,0.0945198216461
18,0.18,0.81087233941,0.0933227807596
19,0.19,0.821457638135,0.0923969475352
20,0.2,0.835097644975,0.0913175707236
21,0.21,0.848463129588,0.0902381939119
22,0.22,0.844266617894,0.089091174816
23,0.23,0.826255280169,0.0872551183628
24,0.24,0.817833728953,0.0850300594242
25,0.25,0.853466993491,0.0828050004856
26,0.26,0.922605668265,0.0806008662562
27,0.27,1.10471041482,0.0784320410143
28,0.28,1.09982259144,0.0777231824482
29,0.29,1.06136378842,0.0781543118758
30,0.3,0.994074230556,0.0782950286352
31,0.31,0.988962157306,0.0783060044798
32,0.32,1.02483732279,0.0783169803245
33,0.33,1.05778462951,0.0771041456987
34,0.34,1.06848506584,0.0764332218979
35,0.35,1.06473720318,0.0757622980971
36,0.36,1.08501560893,0.0750913742962
37,0.37,1.08426272893,0.0740257444483
38,0.38,1.0761868834,0.0723110166143
39,0.39,1.06662480456,0.0705962887804
40,0.4,1.04364277285,0.0688815609464
41,0.41,1.04438773109,0.0672019356778
42,0.42,1.05988281797,0.0646243553477
43,0.43,1.06466638375,0.0618977082158
44,0.44,1.03971729173,0.0591760977912
45,0.45,1.02235426122,0.0571297827142
46,0.46,1.03409316136,0.0555281758856
47,0.47,1.07583722069,0.0546916386112
48,0.48,1.06814750115,0.0536670069935
49,0.49,1.04931664405,0.0522574242843
50,0.5,1.08850884603,0.050847841575
51,0.51,1.10535973259,0.0493350238304
52,0.52,1.07193481089,0.047965306784
53,0.53,1.05336229305,0.0466882867584
54,0.54,1.05340767774,0.0454112667329
55,0.55,1.05248012151,0.0442118224399
56,0.56,1.07024914371,0.0429698695967
57,0.57,1.09067488763,0.0417022788065
58,0.58,1.11887306854,0.0404346880164
59,0.59,1.18299895685,0.0391846069138
60,0.6,1.25320272559,0.0382491205723
61,0.61,1.21369491681,0.0373400667632
62,0.62,1.17830529314,0.0364310129542
63,0.63,1.16838256757,0.0355765264321
64,0.64,1.15123300599,0.034857718526
65,0.65,1.14593322727,0.0342058825982
66,0.66,1.12747009225,0.0335540466703
67,0.67,1.13472601925,0.0327331799374
68,0.68,1.13489196064,0.0317671719126
69,0.69,1.10421937453,0.0307417713984
70,0.7,1.07306444229,0.029650407241
71,0.71,1.04250412508,0.0286700243115
72,0.72,1.04322012016,0.0277073620466
73,0.73,1.04960879057,0.0267446997817
74,0.74,1.01950498786,0.0259004381761
75,0.75,0.98824594553,0.0250328180752
76,0.76,0.929112320044,0.0241651979742
77,0.77,0.851661657481,0.0232975778733
78,0.78,0.886405614043,0.02249796711
79,0.79,0.963071344697,0.0217078521377
80,0.8,0.968009185627,0.0209177371653
81,0.81,0.924852857802,0.0201276221929
82,0.82,0.873646496425,0.0192056816672
83,0.83,0.875456449875,0.0183853635003
84,0.84,0.863054717912,0.0176167933273
85,0.85,0.834232530603,0.0167911405631
86,0.86,0.823767052251,0.0158453384481
87,0.87,0.813442137215,0.0148995363331
88,0.88,0.797652382222,0.0139081411855
89,0.89,0.798421980608,0.0130485822317
90,0.9,0.816466811036,0.0123178146656
91,0.91,0.836264739844,0.0115870470995
92,0.92,0.859643377925,0.0108562795335
93,0.93,0.845356446798,0.0101893788115
94,0.94,0.795247435129,0.00954916739336
95,0.95,0.704282536207,0.00898276818842
96,0.96,0.732622353537,0.00836452237901
97,0.97,0.725445597539,0.00760288112762
98,0.98,0.691326015913,0.00684123987623
99,0.99,0.629863669609,0.00607959862484
100,1.0,0.489483389094,0.00531795737345
